system:index,CLOUD_COVER,CLOUD_COVER_LAND,EARTH_SUN_DISTANCE,ESPA_VERSION,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,IMAGE_QUALITY,LANDSAT_ID,LEVEL1_PRODUCTION_DATE,PIXEL_QA_VERSION,SATELLITE,SENSING_TIME,SOLAR_AZIMUTH_ANGLE,SOLAR_ZENITH_ANGLE,SR_APP_VERSION,WRS_PATH,WRS_ROW,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_start,system:version,.geo
1_2_LE07_226062_19990819,12.0,12.0,1.012051,2_19_0c,2.92,1.396,2.565,9.0,LE07_L1TP_226062_19990819_20170217_01_T1,1.487364722E12,generate_pixel_qa_1.5.0,LANDSAT_7,1999-08-19T13:34:52.6087030Z,61.615967,33.72081,LEDAPS_3.2.0,226.0,62.0,355116422,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.45844005838038,-3.636995770593163, -52.188124637020906,-3.820059654105724, -52.186949511337616,-3.817120451323399, -51.98012749788361,-2.8434108846212762, -51.88453681105959,-2.3910956255424898, -51.84449149159916,-2.200056020042476, -51.84342559841686,-2.192225287613691, -51.84552104883675,-2.1918726913582365, -51.94937446491928,-2.176883818345188, -52.070284703736014,-2.1594728655003155, -53.490349518559725,-1.9544949806091305, -53.49290392472063,-1.9624502735831801, -53.50240466251123,-2.0058342705946766, -53.650862192750836,-2.7013024241160646, -53.78455559883962,-3.326950967858322, -53.829135858902134,-3.535555467332824, -53.83790523396425,-3.5782618023024253, -53.837916586175325,-3.5819462271016307, -53.71067436043747,-3.600433202538026, -53.45844005838038,-3.636995770593163)",LANDSAT/LE07/C01/T1_SR/LE07_226062_19990819,9.35069692608E11,1523005447988825,"{""type"":""Polygon"",""coordinates"":[[[-53.45844005838038,-3.636995770593163],[-52.188124637020906,-3.820059654105724],[-52.186949511337616,-3.817120451323399],[-51.98012749788361,-2.8434108846212762],[-51.88453681105959,-2.3910956255424898],[-51.84449149159916,-2.200056020042476],[-51.84342559841686,-2.192225287613691],[-51.84552104883675,-2.1918726913582365],[-51.94937446491928,-2.176883818345188],[-52.070284703736014,-2.1594728655003155],[-53.490349518559725,-1.9544949806091305],[-53.49290392472063,-1.9624502735831801],[-53.50240466251123,-2.0058342705946766],[-53.650862192750836,-2.7013024241160646],[-53.78455559883962,-3.326950967858322],[-53.829135858902134,-3.535555467332824],[-53.83790523396425,-3.5782618023024253],[-53.837916586175325,-3.5819462271016307],[-53.71067436043747,-3.600433202538026],[-53.45844005838038,-3.636995770593163]]]}"
1_2_LE07_227061_19990911,12.0,12.0,1.006716,2_19_0c,3.685,2.532,2.678,9.0,LE07_L1TP_227061_19990911_20170217_01_T1,1.487317245E12,generate_pixel_qa_1.5.0,LANDSAT_7,1999-09-11T13:40:41.2471640Z,77.720284,28.722065,LEDAPS_3.2.0,227.0,61.0,367396698,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.90900219100116,-0.6276500988087134, -54.728526515663255,-0.5091053967031395, -54.730760354819786,-0.5169868782880932, -54.74958719951064,-0.6037887317181736, -54.7652826404247,-0.6764925146527865, -54.92150950713501,-1.4079459100679577, -55.0743979384391,-2.124897469774346, -55.075739628636235,-2.133607756938848, -55.075736178885066,-2.1364040884023443, -53.429674372357916,-2.3745896545997565, -53.42818604398772,-2.371576084786568, -53.379995509415835,-2.145780715643138, -53.31924973101,-1.8588002722496668, -53.280582716033805,-1.6761709207251343, -53.18846474878946,-1.2416065243964245, -53.08572338123444,-0.754574633713611, -53.084990775948356,-0.7467565206437966, -53.180392194672315,-0.7329573044968724, -53.33327514481685,-0.7108493894853578, -53.45056171715966,-0.6939016831396753, -53.90900219100116,-0.6276500988087134)",LANDSAT/LE07/C01/T1_SR/LE07_227061_19990911,9.37057241247E11,1522995774046428,"{""type"":""Polygon"",""coordinates"":[[[-53.90900219100116,-0.6276500988087134],[-54.728526515663255,-0.5091053967031395],[-54.730760354819786,-0.5169868782880932],[-54.74958719951064,-0.6037887317181736],[-54.7652826404247,-0.6764925146527865],[-54.92150950713501,-1.4079459100679577],[-55.0743979384391,-2.124897469774346],[-55.075739628636235,-2.133607756938848],[-55.075736178885066,-2.1364040884023443],[-53.429674372357916,-2.3745896545997565],[-53.42818604398772,-2.371576084786568],[-53.379995509415835,-2.145780715643138],[-53.31924973101,-1.8588002722496668],[-53.280582716033805,-1.6761709207251343],[-53.18846474878946,-1.2416065243964245],[-53.08572338123444,-0.754574633713611],[-53.084990775948356,-0.7467565206437966],[-53.180392194672315,-0.7329573044968724],[-53.33327514481685,-0.7108493894853578],[-53.45056171715966,-0.6939016831396753],[-53.90900219100116,-0.6276500988087134]]]}"
1_2_LE07_227062_19990810,7.0,7.0,1.013672,2_19_0c,3.815,1.821,3.352,9.0,LE07_L1TP_227062_19990810_20170217_01_T1,1.487375226E12,generate_pixel_qa_1.5.0,LANDSAT_7,1999-08-10T13:41:06.7954913Z,57.589108,35.370872,LEDAPS_3.2.0,227.0,62.0,329016771,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.471765430478,-2.1873403029000666, -53.558146389514455,-2.174859908076973, -53.821945011269555,-2.1367496276677715, -54.403241410753665,-2.052653496313499, -55.05426958138178,-1.9581989120255878, -55.056519625259426,-1.9664430184220112, -55.06242236291472,-1.9924982016446773, -55.223238914412924,-2.7437313613055085, -55.383966628673925,-3.495064203987361, -55.402207449449705,-3.582329448663916, -55.40185516492274,-3.585121386893353, -53.75328818307597,-3.8237234935712037, -53.75210935401614,-3.820730402393583, -53.71842791612373,-3.664233892661293, -53.60964989003737,-3.151759338904103, -53.53022854919628,-2.777905820705622, -53.44380424576777,-2.3694159776223422, -53.408932662221346,-2.2043423514632123, -53.408303231271056,-2.196516044839098, -53.471765430478,-2.1873403029000666)",LANDSAT/LE07/C01/T1_SR/LE07_227062_19990810,9.34292466795E11,1522995939933211,"{""type"":""Polygon"",""coordinates"":[[[-53.471765430478,-2.1873403029000666],[-53.558146389514455,-2.174859908076973],[-53.821945011269555,-2.1367496276677715],[-54.403241410753665,-2.052653496313499],[-55.05426958138178,-1.9581989120255878],[-55.056519625259426,-1.9664430184220112],[-55.06242236291472,-1.9924982016446773],[-55.223238914412924,-2.7437313613055085],[-55.383966628673925,-3.495064203987361],[-55.402207449449705,-3.582329448663916],[-55.40185516492274,-3.585121386893353],[-53.75328818307597,-3.8237234935712037],[-53.75210935401614,-3.820730402393583],[-53.71842791612373,-3.664233892661293],[-53.60964989003737,-3.151759338904103],[-53.53022854919628,-2.777905820705622],[-53.44380424576777,-2.3694159776223422],[-53.408932662221346,-2.2043423514632123],[-53.408303231271056,-2.196516044839098],[-53.471765430478,-2.1873403029000666]]]}"
2_LT05_227061_19990802,3.0,3.0,1.014846,2_19_0c,3.552,2.304,2.704,9.0,LT05_L1TP_227061_19990802_20161217_01_T1,1.481935151E12,generate_pixel_qa_1.5.0,LANDSAT_5,1999-08-02T13:25:31.4890880Z,58.809669,38.879917,LEDAPS_3.2.0,227.0,61.0,285094917,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.234022150113134,-1.1807358811820226, -53.22279126586254,-1.1276387250987652, -53.2005892437893,-1.0225320203755914, -53.17837680206939,-0.9171595723379209, -53.15103861740231,-0.7869070759872799, -53.139273481450516,-0.7298040975536882, -53.13927643701057,-0.7264035973338089, -53.796460484539494,-0.6310095170373431, -54.28923480981829,-0.5594468354388591, -54.78294951005404,-0.48771028659373106, -54.7869226974358,-0.4895579914303794, -54.960137746376915,-1.3020592546567513, -55.13104435119596,-2.105159213306134, -55.132969997567805,-2.114906653824186, -55.1317386262705,-2.1183008217807684, -53.4829616370351,-2.3576821737624716, -53.47889266845386,-2.338623898269212, -53.452039028806325,-2.2120800067096402, -53.37686123577655,-1.8567532365051918, -53.234022150113134,-1.1807358811820226)",LANDSAT/LT05/C01/T1_SR/LT05_227061_19990802,9.33600331489E11,1521902197821208,"{""type"":""Polygon"",""coordinates"":[[[-53.234022150113134,-1.1807358811820226],[-53.22279126586254,-1.1276387250987652],[-53.2005892437893,-1.0225320203755914],[-53.17837680206939,-0.9171595723379209],[-53.15103861740231,-0.7869070759872799],[-53.139273481450516,-0.7298040975536882],[-53.13927643701057,-0.7264035973338089],[-53.796460484539494,-0.6310095170373431],[-54.28923480981829,-0.5594468354388591],[-54.78294951005404,-0.48771028659373106],[-54.7869226974358,-0.4895579914303794],[-54.960137746376915,-1.3020592546567513],[-55.13104435119596,-2.105159213306134],[-55.132969997567805,-2.114906653824186],[-55.1317386262705,-2.1183008217807684],[-53.4829616370351,-2.3576821737624716],[-53.47889266845386,-2.338623898269212],[-53.452039028806325,-2.2120800067096402],[-53.37686123577655,-1.8567532365051918],[-53.234022150113134,-1.1807358811820226]]]}"
2_LT05_227061_19990919,6.0,6.0,1.004566,2_19_0c,3.903,2.628,2.885,9.0,LT05_L1TP_227061_19990919_20161216_01_T1,1.481892582E12,generate_pixel_qa_1.5.0,LANDSAT_5,1999-09-19T13:24:26.0340500Z,84.711754,31.543819,LEDAPS_3.2.0,227.0,61.0,336174419,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.27139168428717,-1.8321567861623314, -53.17293974694555,-1.366156208799549, -53.10960137512761,-1.0665608713054042, -53.044834129376746,-0.7596881262560562, -53.04429568145849,-0.7558689487351747, -53.04429789526092,-0.7534503242395284, -53.13561163370723,-0.7401985851870759, -53.66831126268527,-0.6629013090365766, -54.681235007327025,-0.5158145407813761, -54.685364353832064,-0.5177350248726871, -54.687385554687886,-0.5264699611180239, -54.857575858783704,-1.3262484866335449, -55.02747915733105,-2.126187188621335, -55.03131873196223,-2.144513119052214, -55.03004460085445,-2.1480241067131054, -53.38880667250246,-2.386146210594737, -53.38110671151927,-2.350292123852825, -53.36620499558354,-2.2803690300011827, -53.30928815001224,-2.011536109467037, -53.27139168428717,-1.8321567861623314)",LANDSAT/LT05/C01/T1_SR/LT05_227061_19990919,9.37747466034E11,1521902199514298,"{""type"":""Polygon"",""coordinates"":[[[-53.27139168428717,-1.8321567861623314],[-53.17293974694555,-1.366156208799549],[-53.10960137512761,-1.0665608713054042],[-53.044834129376746,-0.7596881262560562],[-53.04429568145849,-0.7558689487351747],[-53.04429789526092,-0.7534503242395284],[-53.13561163370723,-0.7401985851870759],[-53.66831126268527,-0.6629013090365766],[-54.681235007327025,-0.5158145407813761],[-54.685364353832064,-0.5177350248726871],[-54.687385554687886,-0.5264699611180239],[-54.857575858783704,-1.3262484866335449],[-55.02747915733105,-2.126187188621335],[-55.03131873196223,-2.144513119052214],[-55.03004460085445,-2.1480241067131054],[-53.38880667250246,-2.386146210594737],[-53.38110671151927,-2.350292123852825],[-53.36620499558354,-2.2803690300011827],[-53.30928815001224,-2.011536109467037],[-53.27139168428717,-1.8321567861623314]]]}"
2_LT05_227062_19990802,0.0,0.0,1.014846,2_19_0c,4.232,2.748,3.218,9.0,LT05_L1TP_227062_19990802_20161217_01_T1,1.481935217E12,generate_pixel_qa_1.5.0,LANDSAT_5,1999-08-02T13:25:55.6050440Z,57.44268,39.826946,LEDAPS_3.2.0,227.0,62.0,253288292,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.4788912663945,-2.3391653189440764, -53.44741064462952,-2.1901810758493894, -53.446939503771084,-2.1868057779053243, -53.446945851581056,-2.1841024232496125, -53.53313061313307,-2.1716208114296878, -54.0449739608638,-2.097456934832684, -54.588718851906854,-2.018506670871696, -55.093437183174856,-1.9450584671643834, -55.097227483418784,-1.9471175224931874, -55.10127735069249,-1.9656895218646857, -55.1310439302208,-2.1051572156757374, -55.27887000173774,-2.798614016194099, -55.426630972692614,-3.4921522906564517, -55.44163363337216,-3.5627189116575084, -55.443558875958345,-3.572195518939622, -55.44233945495822,-3.575547121032024, -53.79106455881524,-3.815323658100957, -53.78354918626543,-3.7799086744082553, -53.71485461925475,-3.455036366426864, -53.62379789561516,-3.024734447010599, -53.4788912663945,-2.3391653189440764)",LANDSAT/LT05/C01/T1_SR/LT05_227062_19990802,9.33600355605E11,1538942628517378,"{""type"":""Polygon"",""coordinates"":[[[-53.4788912663945,-2.3391653189440764],[-53.44741064462952,-2.1901810758493894],[-53.446939503771084,-2.1868057779053243],[-53.446945851581056,-2.1841024232496125],[-53.53313061313307,-2.1716208114296878],[-54.0449739608638,-2.097456934832684],[-54.588718851906854,-2.018506670871696],[-55.093437183174856,-1.9450584671643834],[-55.097227483418784,-1.9471175224931874],[-55.10127735069249,-1.9656895218646857],[-55.1310439302208,-2.1051572156757374],[-55.27887000173774,-2.798614016194099],[-55.426630972692614,-3.4921522906564517],[-55.44163363337216,-3.5627189116575084],[-55.443558875958345,-3.572195518939622],[-55.44233945495822,-3.575547121032024],[-53.79106455881524,-3.815323658100957],[-53.78354918626543,-3.7799086744082553],[-53.71485461925475,-3.455036366426864],[-53.62379789561516,-3.024734447010599],[-53.4788912663945,-2.3391653189440764]]]}"
