system:index,CLOUD_COVER,CLOUD_COVER_LAND,EARTH_SUN_DISTANCE,ESPA_VERSION,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,IMAGE_QUALITY_OLI,IMAGE_QUALITY_TIRS,LANDSAT_ID,LEVEL1_PRODUCTION_DATE,PIXEL_QA_VERSION,SATELLITE,SENSING_TIME,SOLAR_AZIMUTH_ANGLE,SOLAR_ZENITH_ANGLE,SR_APP_VERSION,WRS_PATH,WRS_ROW,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_start,system:version,.geo
1_1_LC08_227061_20130605,8.55,8.55,1.014688,2_23_0_1a,8.112,6.044,5.411,9.0,9.0,LC08_L1TP_227061_20130605_20170504_01_T1,1.493884175E12,generate_pixel_qa_1.6.0,LANDSAT_8,2013-06-05T13:49:51.5285480Z,45.237156,35.115372,LaSRC_1.3.0,227.0,61.0,535695746,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.5972949181462,-2.4025235152215534, -53.50674402860047,-2.4220698678718393, -53.45980035864208,-2.4321923880767877, -53.45421353856219,-2.4060138550700954, -53.439577229332485,-2.3371695229105964, -53.37488646534496,-2.032337704448834, -53.303424565828834,-1.6951739948341045, -53.1808319986846,-1.1170220887050044, -53.16371385977561,-1.0362990886110084, -53.116869396962066,-0.8142492317017345, -53.11687071014425,-0.8128588055221156, -53.11789557392158,-0.8125160358629007, -53.18704251803199,-0.7976908999965024, -54.591445451239245,-0.49612730801717764, -54.74954973498361,-0.4621308206173794, -54.75023859887647,-0.46490825627336185, -54.921090919421175,-1.2647317536305034, -55.09448259803321,-2.077902454841662, -55.09352563308847,-2.0783824012720036, -54.715294903692325,-2.160516211042574, -53.87517986848349,-2.3424855436916867, -53.5972949181462,-2.4025235152215534)",LANDSAT/LC08/C01/T1_SR/LC08_227061_20130605,1.37044019153E12,1522719436400446,"{""type"":""Polygon"",""coordinates"":[[[-53.5972949181462,-2.4025235152215534],[-53.50674402860047,-2.4220698678718393],[-53.45980035864208,-2.4321923880767877],[-53.45421353856219,-2.4060138550700954],[-53.439577229332485,-2.3371695229105964],[-53.37488646534496,-2.032337704448834],[-53.303424565828834,-1.6951739948341045],[-53.1808319986846,-1.1170220887050044],[-53.16371385977561,-1.0362990886110084],[-53.116869396962066,-0.8142492317017345],[-53.11687071014425,-0.8128588055221156],[-53.11789557392158,-0.8125160358629007],[-53.18704251803199,-0.7976908999965024],[-54.591445451239245,-0.49612730801717764],[-54.74954973498361,-0.4621308206173794],[-54.75023859887647,-0.46490825627336185],[-54.921090919421175,-1.2647317536305034],[-55.09448259803321,-2.077902454841662],[-55.09352563308847,-2.0783824012720036],[-54.715294903692325,-2.160516211042574],[-53.87517986848349,-2.3424855436916867],[-53.5972949181462,-2.4025235152215534]]]}"
1_1_LC08_227061_20130925,4.34,4.34,1.002756,2_23_0_1a,9.616,7.067,6.521,9.0,9.0,LC08_L1TP_227061_20130925_20170502_01_T1,1.493710347E12,generate_pixel_qa_1.6.0,LANDSAT_8,2013-09-25T13:49:41.6762550Z,89.373558,24.520317,LaSRC_1.3.0,227.0,61.0,562319685,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.06762681045334,-0.7588060367743226, -53.066455837085655,-0.7528840586148146, -53.0864771601347,-0.748584162274212, -53.549878809243765,-0.6492766020071051, -54.508769267889704,-0.4434912472783786, -54.699448299445336,-0.4025314997839265, -54.69980537931716,-0.40275016196510305, -54.88403555460455,-1.2660578319689557, -55.069641697370244,-2.137576326961137, -55.068114759091216,-2.1380862174486515, -54.904802225162506,-2.1735390223874185, -53.81467679964699,-2.409554965390817, -53.60740134690228,-2.454297873263866, -53.436112898462845,-2.491238286762381, -53.43463243782234,-2.4912342653961344, -53.4268836778347,-2.454972359512028, -53.36114951157253,-2.145193836479721, -53.295076296807565,-1.8332897861279467, -53.26627782278794,-1.6972688137732648, -53.15198537491561,-1.1576744444175335, -53.06762681045334,-0.7588060367743226)",LANDSAT/LC08/C01/T1_SR/LC08_227061_20130925,1.38011698168E12,1522719440881235,"{""type"":""Polygon"",""coordinates"":[[[-53.06762681045334,-0.7588060367743226],[-53.066455837085655,-0.7528840586148146],[-53.0864771601347,-0.748584162274212],[-53.549878809243765,-0.6492766020071051],[-54.508769267889704,-0.4434912472783786],[-54.699448299445336,-0.4025314997839265],[-54.69980537931716,-0.40275016196510305],[-54.88403555460455,-1.2660578319689557],[-55.069641697370244,-2.137576326961137],[-55.068114759091216,-2.1380862174486515],[-54.904802225162506,-2.1735390223874185],[-53.81467679964699,-2.409554965390817],[-53.60740134690228,-2.454297873263866],[-53.436112898462845,-2.491238286762381],[-53.43463243782234,-2.4912342653961344],[-53.4268836778347,-2.454972359512028],[-53.36114951157253,-2.145193836479721],[-53.295076296807565,-1.8332897861279467],[-53.26627782278794,-1.6972688137732648],[-53.15198537491561,-1.1576744444175335],[-53.06762681045334,-0.7588060367743226]]]}"
1_1_LC08_227062_20130925,3.96,3.96,1.002756,2_23_0_1a,9.456,6.788,6.583,9.0,9.0,LC08_L1TP_227062_20130925_20170502_01_T1,1.493710168E12,generate_pixel_qa_1.6.0,LANDSAT_8,2013-09-25T13:50:05.5969440Z,86.248672,24.782913,LaSRC_1.3.0,227.0,62.0,555225077,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-55.00808195795627,-1.848729300927824, -55.009201565676136,-1.8538256742761718, -55.191325288874324,-2.706925309371342, -55.37332367468932,-3.5601573368841337, -55.37832062173562,-3.5836911446114383, -55.37696718491702,-3.5841417245704386, -54.66536849719869,-3.738473745104696, -53.82489702700882,-3.919829044658107, -53.74194653162964,-3.937670238165275, -53.74053507738597,-3.9376647167259713, -53.7323811784395,-3.8992132619326925, -53.71330285873109,-3.8091793235950564, -53.70217241932622,-3.756570484085267, -53.579380893525986,-3.176584896583008, -53.49174866944855,-2.7620790107487307, -53.37978588934292,-2.2330007255864834, -53.372858790999885,-2.2002777469798094, -53.372861097015864,-2.1993349016512402, -55.00718154080901,-1.8487282491479236, -55.00808195795627,-1.848729300927824)",LANDSAT/LC08/C01/T1_SR/LC08_227062_20130925,1.3801170056E12,1522719821376692,"{""type"":""Polygon"",""coordinates"":[[[-55.00808195795627,-1.848729300927824],[-55.009201565676136,-1.8538256742761718],[-55.191325288874324,-2.706925309371342],[-55.37332367468932,-3.5601573368841337],[-55.37832062173562,-3.5836911446114383],[-55.37696718491702,-3.5841417245704386],[-54.66536849719869,-3.738473745104696],[-53.82489702700882,-3.919829044658107],[-53.74194653162964,-3.937670238165275],[-53.74053507738597,-3.9376647167259713],[-53.7323811784395,-3.8992132619326925],[-53.71330285873109,-3.8091793235950564],[-53.70217241932622,-3.756570484085267],[-53.579380893525986,-3.176584896583008],[-53.49174866944855,-2.7620790107487307],[-53.37978588934292,-2.2330007255864834],[-53.372858790999885,-2.2002777469798094],[-53.372861097015864,-2.1993349016512402],[-55.00718154080901,-1.8487282491479236],[-55.00808195795627,-1.848729300927824]]]}"
1_2_LE07_226061_20130708,14.0,14.0,1.016674,2_19_0c,9.578,7.471,5.993,,,LE07_L1TP_226061_20130708_20161123_01_T1,1.479874736E12,generate_pixel_qa_1.5.0,LANDSAT_7,2013-07-08T13:37:03.6917839Z,48.614491,37.393398,LEDAPS_3.2.0,226.0,61.0,317540320,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-51.49103695002076,-0.7927060738220248, -51.485633904706695,-0.7668857987525662, -51.48620087857938,-0.7588830966070551, -53.19104228321144,-0.508462265569714, -53.19843148355731,-0.5147521974474913, -53.20115562417605,-0.5232434954906839, -53.214921077781035,-0.5840036261502461, -53.227878127924804,-0.6439382420495032, -53.363076487503136,-1.279831445658635, -53.49008877882952,-1.8773248960471343, -53.51559926378319,-1.998223326121752, -53.52646056318869,-2.0505394576357046, -53.53352273001485,-2.084965323072476, -53.540413044557866,-2.119607696141683, -53.53449589184669,-2.123695013251976, -52.28603595886813,-2.3075162478433047, -51.82678327653363,-2.3748377913440146, -51.823008015392205,-2.3634679834233303, -51.81380664666417,-2.3203079837016927, -51.49103695002076,-0.7927060738220248)",LANDSAT/LE07/C01/T1_SR/LE07_226061_20130708,1.37329062369E12,1523005561175801,"{""type"":""Polygon"",""coordinates"":[[[-51.49103695002076,-0.7927060738220248],[-51.485633904706695,-0.7668857987525662],[-51.48620087857938,-0.7588830966070551],[-53.19104228321144,-0.508462265569714],[-53.19843148355731,-0.5147521974474913],[-53.20115562417605,-0.5232434954906839],[-53.214921077781035,-0.5840036261502461],[-53.227878127924804,-0.6439382420495032],[-53.363076487503136,-1.279831445658635],[-53.49008877882952,-1.8773248960471343],[-53.51559926378319,-1.998223326121752],[-53.52646056318869,-2.0505394576357046],[-53.53352273001485,-2.084965323072476],[-53.540413044557866,-2.119607696141683],[-53.53449589184669,-2.123695013251976],[-52.28603595886813,-2.3075162478433047],[-51.82678327653363,-2.3748377913440146],[-51.823008015392205,-2.3634679834233303],[-51.81380664666417,-2.3203079837016927],[-51.49103695002076,-0.7927060738220248]]]}"
1_2_LE07_226062_20130708,1.0,1.0,1.016674,2_19_0c,4.378,2.776,3.386,,,LE07_L1TP_226062_20130708_20161123_01_T1,1.479926069E12,generate_pixel_qa_1.5.0,LANDSAT_7,2013-07-08T13:37:27.6140837Z,47.421566,38.513588,LEDAPS_3.2.0,226.0,62.0,249915075,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-52.131407127009766,-3.8152509109599873, -52.13006687476102,-3.8125671853576244, -52.09868963156086,-3.6660693417161654, -51.937805930473615,-2.906948199583355, -51.897713859547856,-2.7172866450180435, -51.81191544567183,-2.3107835928908553, -51.79050959990884,-2.2075326412167042, -51.80070717773085,-2.19925977426467, -53.50156151937486,-1.9567281143968238, -53.508254289121915,-1.963721697656076, -53.52889941252615,-2.059210277359232, -53.63192567940619,-2.541921359490635, -53.73411794292461,-3.0208831082654046, -53.83658175987497,-3.4997520131853017, -53.848127456087795,-3.559664558210471, -53.84703543574407,-3.571868670770503, -53.646902157261415,-3.6005988920522802, -52.76778742049307,-3.7261820086145176, -52.14270495803429,-3.814920663769178, -52.131407127009766,-3.8152509109599873)",LANDSAT/LE07/C01/T1_SR/LE07_226062_20130708,1.37329064761E12,1523005540397031,"{""type"":""Polygon"",""coordinates"":[[[-52.131407127009766,-3.8152509109599873],[-52.13006687476102,-3.8125671853576244],[-52.09868963156086,-3.6660693417161654],[-51.937805930473615,-2.906948199583355],[-51.897713859547856,-2.7172866450180435],[-51.81191544567183,-2.3107835928908553],[-51.79050959990884,-2.2075326412167042],[-51.80070717773085,-2.19925977426467],[-53.50156151937486,-1.9567281143968238],[-53.508254289121915,-1.963721697656076],[-53.52889941252615,-2.059210277359232],[-53.63192567940619,-2.541921359490635],[-53.73411794292461,-3.0208831082654046],[-53.83658175987497,-3.4997520131853017],[-53.848127456087795,-3.559664558210471],[-53.84703543574407,-3.571868670770503],[-53.646902157261415,-3.6005988920522802],[-52.76778742049307,-3.7261820086145176],[-52.14270495803429,-3.814920663769178],[-52.131407127009766,-3.8152509109599873]]]}"
1_2_LE07_227061_20130715,14.0,14.0,1.016439,2_19_0c,4.17,3.023,2.872,,,LE07_L1TP_227061_20130715_20161123_01_T1,1.479863703E12,generate_pixel_qa_1.5.0,LANDSAT_7,2013-07-15T13:43:12.0486239Z,50.137634,37.011528,LEDAPS_3.2.0,227.0,61.0,316682585,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.04364195673488,-0.7583006602513973, -53.28344469965232,-0.7240293490476462, -54.74126822806653,-0.5156073157093033, -54.74959926862364,-0.5228811988699771, -54.768174545891725,-0.6086786286657097, -54.87217273635712,-1.0963937087791429, -54.976058409094584,-1.5841695586145026, -55.051162536299294,-1.937964066955752, -55.083873101512395,-2.0931676372176504, -55.08872599083385,-2.119109125944559, -55.0870015419907,-2.130862537249427, -55.06984639618411,-2.133345806032167, -53.38646898150514,-2.3738130249050733, -53.37421679963757,-2.374105052159861, -53.2891161830338,-1.9768253334249963, -53.20060197969982,-1.557397921176387, -53.11192969993305,-1.138052329697349, -53.0337680872332,-0.7665680698318749, -53.04364195673488,-0.7583006602513973)",LANDSAT/LE07/C01/T1_SR/LE07_227061_20130715,1.37389579205E12,1522995897680206,"{""type"":""Polygon"",""coordinates"":[[[-53.04364195673488,-0.7583006602513973],[-53.28344469965232,-0.7240293490476462],[-54.74126822806653,-0.5156073157093033],[-54.74959926862364,-0.5228811988699771],[-54.768174545891725,-0.6086786286657097],[-54.87217273635712,-1.0963937087791429],[-54.976058409094584,-1.5841695586145026],[-55.051162536299294,-1.937964066955752],[-55.083873101512395,-2.0931676372176504],[-55.08872599083385,-2.119109125944559],[-55.0870015419907,-2.130862537249427],[-55.06984639618411,-2.133345806032167],[-53.38646898150514,-2.3738130249050733],[-53.37421679963757,-2.374105052159861],[-53.2891161830338,-1.9768253334249963],[-53.20060197969982,-1.557397921176387],[-53.11192969993305,-1.138052329697349],[-53.0337680872332,-0.7665680698318749],[-53.04364195673488,-0.7583006602513973]]]}"
1_2_LE07_227062_20130715,13.0,13.0,1.016439,2_19_0c,4.159,2.915,2.966,,,LE07_L1TP_227062_20130715_20161123_01_T1,1.47986349E12,generate_pixel_qa_1.5.0,LANDSAT_7,2013-07-15T13:43:35.9717227Z,48.894154,38.11018,LEDAPS_3.2.0,227.0,62.0,299813524,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-55.37324912077163,-3.4470253553002537, -55.38235530410539,-3.490179079538481, -55.39818823035602,-3.5679773632318614, -55.392217514274044,-3.571961702729983, -53.68118557292991,-3.8238813347918716, -53.67535081457464,-3.7993356069005655, -53.580541368742566,-3.351336958656247, -53.49017835903381,-2.9248868827605694, -53.41539099972062,-2.5706073923711714, -53.34051024557764,-2.216357901623104, -53.34020269095449,-2.20846494264088, -55.04791059491832,-1.9571638970209289, -55.05406365841395,-1.9633692679839387, -55.05846545500876,-1.9739647319949647, -55.09915674107565,-2.1620836860377364, -55.12864406880601,-2.299654741016051, -55.183852241760846,-2.5582542949802853, -55.25190671197007,-2.8773825753324602, -55.37324912077163,-3.4470253553002537)",LANDSAT/LE07/C01/T1_SR/LE07_227062_20130715,1.37389581597E12,1522997100855302,"{""type"":""Polygon"",""coordinates"":[[[-55.37324912077163,-3.4470253553002537],[-55.38235530410539,-3.490179079538481],[-55.39818823035602,-3.5679773632318614],[-55.392217514274044,-3.571961702729983],[-53.68118557292991,-3.8238813347918716],[-53.67535081457464,-3.7993356069005655],[-53.580541368742566,-3.351336958656247],[-53.49017835903381,-2.9248868827605694],[-53.41539099972062,-2.5706073923711714],[-53.34051024557764,-2.216357901623104],[-53.34020269095449,-2.20846494264088],[-55.04791059491832,-1.9571638970209289],[-55.05406365841395,-1.9633692679839387],[-55.05846545500876,-1.9739647319949647],[-55.09915674107565,-2.1620836860377364],[-55.12864406880601,-2.299654741016051],[-55.183852241760846,-2.5582542949802853],[-55.25190671197007,-2.8773825753324602],[-55.37324912077163,-3.4470253553002537]]]}"
