system:index,CLOUD_COVER,CLOUD_COVER_LAND,EARTH_SUN_DISTANCE,ESPA_VERSION,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,IMAGE_QUALITY_OLI,IMAGE_QUALITY_TIRS,LANDSAT_ID,LEVEL1_PRODUCTION_DATE,PIXEL_QA_VERSION,SATELLITE,SENSING_TIME,SOLAR_AZIMUTH_ANGLE,SOLAR_ZENITH_ANGLE,SR_APP_VERSION,WRS_PATH,WRS_ROW,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_end,system:time_start,system:version,.geo
1_LC08_226061_20180815,2.74,2.74,1.012803,2_23_0_1a,9.067,6.872,5.915,9.0,9.0,LC08_L1TP_226061_20180815_20180828_01_T1,1.535498471E12,generate_pixel_qa_1.6.0,LANDSAT_8,2018-08-15T13:41:04.3293099Z,60.338871,32.046787,LaSRC_1.3.0,226.0,61.0,551853296,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.45715019520543,-1.8337137002201382, -53.51359856843372,-2.0980099313078164, -53.52202351488773,-2.137530890320314, -53.52202623808785,-2.1392123363839484, -53.51911700855397,-2.139867805455438, -52.81296863291415,-2.2929979918135834, -52.040584085385994,-2.460122016003355, -51.88717666130946,-2.4932635128441722, -51.88486651451116,-2.4825520593787727, -51.70154699504289,-1.619217654502354, -51.518334495089334,-0.7548524008569661, -51.51942280696833,-0.7543044692056111, -51.655699185489745,-0.7250562348226048, -53.09142080610813,-0.4167634407484811, -53.152055417390166,-0.40374347101792196, -53.15451647139027,-0.41505496662751723, -53.24143775850092,-0.8226599321846495, -53.284404010740666,-1.0241382848137126, -53.32145108675654,-1.1979470880561065, -53.429493213080995,-1.7041315984207492, -53.45715019520543,-1.8337137002201382)",LANDSAT/LC08/C01/T1_SR/LC08_226061_20180815,1.53434046433E12,1.53434046433E12,1535790194625891,"{""type"":""Polygon"",""coordinates"":[[[-53.45715019520543,-1.8337137002201382],[-53.51359856843372,-2.0980099313078164],[-53.52202351488773,-2.137530890320314],[-53.52202623808785,-2.1392123363839484],[-53.51911700855397,-2.139867805455438],[-52.81296863291415,-2.2929979918135834],[-52.040584085385994,-2.460122016003355],[-51.88717666130946,-2.4932635128441722],[-51.88486651451116,-2.4825520593787727],[-51.70154699504289,-1.619217654502354],[-51.518334495089334,-0.7548524008569661],[-51.51942280696833,-0.7543044692056111],[-51.655699185489745,-0.7250562348226048],[-53.09142080610813,-0.4167634407484811],[-53.152055417390166,-0.40374347101792196],[-53.15451647139027,-0.41505496662751723],[-53.24143775850092,-0.8226599321846495],[-53.284404010740666,-1.0241382848137126],[-53.32145108675654,-1.1979470880561065],[-53.429493213080995,-1.7041315984207492],[-53.45715019520543,-1.8337137002201382]]]}"
1_LC08_226061_20180831,7.2,7.21,1.00941,2_23_0_1a,9.406,7.208,6.043,9.0,9.0,LC08_L1TP_226061_20180831_20180912_01_T1,1.536717021E12,generate_pixel_qa_1.6.0,LANDSAT_8,2018-08-31T13:41:11.2994829Z,69.397308,28.974083,LaSRC_1.3.0,226.0,61.0,584855392,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.521754331166356,-2.137721222004664, -53.52175664175217,-2.1391563609005484, -53.47223639687961,-2.1499168741498718, -52.88279482791095,-2.2777163440360395, -52.23129231361927,-2.418713339645074, -51.8867903274616,-2.49314711211862, -51.884597138283425,-2.483095270342784, -51.701952696772615,-1.6227456421495738, -51.51825813425626,-0.7559109093581141, -51.51825797383444,-0.7544319383676142, -52.065191112557876,-0.637053378416342, -52.64089788543721,-0.5134564186667018, -53.15185202342478,-0.4037430891183631, -53.15532613843493,-0.41993716738500064, -53.24116834859932,-0.8226601436975635, -53.31901756699049,-1.1876437313049113, -53.40185324862946,-1.5758995219231398, -53.43085010503558,-1.711722659731102, -53.45416852248151,-1.820972984514604, -53.51082514292487,-2.0864522398155065, -53.521754331166356,-2.137721222004664)",LANDSAT/LC08/C01/T1_SR/LC08_226061_20180831,1.5357228713E12,1.5357228713E12,1536912230598852,"{""type"":""Polygon"",""coordinates"":[[[-53.521754331166356,-2.137721222004664],[-53.52175664175217,-2.1391563609005484],[-53.47223639687961,-2.1499168741498718],[-52.88279482791095,-2.2777163440360395],[-52.23129231361927,-2.418713339645074],[-51.8867903274616,-2.49314711211862],[-51.884597138283425,-2.483095270342784],[-51.701952696772615,-1.6227456421495738],[-51.51825813425626,-0.7559109093581141],[-51.51825797383444,-0.7544319383676142],[-52.065191112557876,-0.637053378416342],[-52.64089788543721,-0.5134564186667018],[-53.15185202342478,-0.4037430891183631],[-53.15532613843493,-0.41993716738500064],[-53.24116834859932,-0.8226601436975635],[-53.31901756699049,-1.1876437313049113],[-53.40185324862946,-1.5758995219231398],[-53.43085010503558,-1.711722659731102],[-53.45416852248151,-1.820972984514604],[-53.51082514292487,-2.0864522398155065],[-53.521754331166356,-2.137721222004664]]]}"
1_LC08_226062_20180815,8.13,8.13,1.012803,2_23_0_1a,8.161,6.27,5.225,9.0,9.0,LC08_L1TP_226062_20180815_20180828_01_T1,1.53549838E12,generate_pixel_qa_1.6.0,LANDSAT_8,2018-08-15T13:41:28.2500010Z,58.557659,32.96122,LaSRC_1.3.0,226.0,62.0,580744894,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-51.825790669623586,-2.200807425383061, -51.85557692366865,-2.194422316985662, -52.52187479004623,-2.0516081642430057, -53.32698768336207,-1.8786985539331023, -53.46061640218132,-1.8499695466060613, -53.513870280992585,-2.099365270403083, -53.61364401242973,-2.5666315119036005, -53.710381345503855,-3.018638367444185, -53.82159159216025,-3.5388306583838367, -53.82870883340575,-3.5724241132749346, -53.831270690354664,-3.585090947487176, -53.45206359732382,-3.667379848617882, -52.54201957663631,-3.864219733967268, -52.19432439200685,-3.9391699057504437, -52.1938878705991,-3.9387327218305797, -52.192283264948486,-3.9320065729069347, -52.00948202909125,-3.0714719765682013, -51.8275046541913,-2.2122872299403515, -51.8252494076669,-2.2013525412171293, -51.825790669623586,-2.200807425383061)",LANDSAT/LC08/C01/T1_SR/LC08_226062_20180815,1.53434048825E12,1.53434048825E12,1535789295499223,"{""type"":""Polygon"",""coordinates"":[[[-51.825790669623586,-2.200807425383061],[-51.85557692366865,-2.194422316985662],[-52.52187479004623,-2.0516081642430057],[-53.32698768336207,-1.8786985539331023],[-53.46061640218132,-1.8499695466060613],[-53.513870280992585,-2.099365270403083],[-53.61364401242973,-2.5666315119036005],[-53.710381345503855,-3.018638367444185],[-53.82159159216025,-3.5388306583838367],[-53.82870883340575,-3.5724241132749346],[-53.831270690354664,-3.585090947487176],[-53.45206359732382,-3.667379848617882],[-52.54201957663631,-3.864219733967268],[-52.19432439200685,-3.9391699057504437],[-52.1938878705991,-3.9387327218305797],[-52.192283264948486,-3.9320065729069347],[-52.00948202909125,-3.0714719765682013],[-51.8275046541913,-2.2122872299403515],[-51.8252494076669,-2.2013525412171293],[-51.825790669623586,-2.200807425383061]]]}"
1_LC08_226062_20180831,5.46,5.46,1.00941,2_23_0_1a,8.669,6.756,5.433,9.0,9.0,LC08_L1TP_226062_20180831_20180912_01_T1,1.536716691E12,generate_pixel_qa_1.6.0,LANDSAT_8,2018-08-31T13:41:35.2201740Z,67.151329,29.702763,LaSRC_1.3.0,226.0,62.0,591795746,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.82816490543293,-3.5710696056566062, -53.83008229964554,-3.5802831964465764, -53.830990141336066,-3.5850662052794204, -53.81263321470495,-3.589056418178985, -53.590970667920374,-3.6371623311115218, -52.343543699243284,-3.906885959665899, -52.19508685277618,-3.938864772451213, -52.19365000486114,-3.938866862488688, -52.19196860263669,-3.9318747116209316, -52.0093479824447,-3.072421889436439, -51.82664660889247,-2.2100502949932115, -51.824734096799936,-2.2008407950774633, -52.469027369639,-2.062782271070666, -53.29842582587215,-1.8847029628815668, -53.38222262509394,-1.8666916948918129, -53.460251131523286,-1.8499249063089118, -53.51332990978559,-2.0985527006375326, -53.54728714633028,-2.257660241578554, -53.710112404776545,-3.01891014360101, -53.77456061898868,-3.320180097328003, -53.82266055322203,-3.5450896761510604, -53.82816490543293,-3.5710696056566062)",LANDSAT/LC08/C01/T1_SR/LC08_226062_20180831,1.53572289522E12,1.53572289522E12,1536911571078120,"{""type"":""Polygon"",""coordinates"":[[[-53.82816490543293,-3.5710696056566062],[-53.83008229964554,-3.5802831964465764],[-53.830990141336066,-3.5850662052794204],[-53.81263321470495,-3.589056418178985],[-53.590970667920374,-3.6371623311115218],[-52.343543699243284,-3.906885959665899],[-52.19508685277618,-3.938864772451213],[-52.19365000486114,-3.938866862488688],[-52.19196860263669,-3.9318747116209316],[-52.0093479824447,-3.072421889436439],[-51.82664660889247,-2.2100502949932115],[-51.824734096799936,-2.2008407950774633],[-52.469027369639,-2.062782271070666],[-53.29842582587215,-1.8847029628815668],[-53.38222262509394,-1.8666916948918129],[-53.460251131523286,-1.8499249063089118],[-53.51332990978559,-2.0985527006375326],[-53.54728714633028,-2.257660241578554],[-53.710112404776545,-3.01891014360101],[-53.77456061898868,-3.320180097328003],[-53.82266055322203,-3.5450896761510604],[-53.82816490543293,-3.5710696056566062]]]}"
1_LC08_227062_20180721,7.27,7.27,1.01606,2_23_0_1a,9.898,7.455,6.51,9.0,9.0,LC08_L1TP_227062_20180721_20180731_01_T1,1.533021168E12,generate_pixel_qa_1.6.0,LANDSAT_8,2018-07-21T13:47:25.5681779Z,49.494408,36.852268,LaSRC_1.3.0,227.0,62.0,556950251,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.366933388297596,-2.2010103296732737, -53.369769205230604,-2.2003044942914354, -53.4829919066625,-2.1760432107253407, -54.8713723170267,-1.8775971710317991, -55.00182875504892,-1.8494724999162522, -55.00219873375731,-1.8496975146261834, -55.008901505650854,-1.880951063699249, -55.18686564631079,-2.7126152874311207, -55.36471096773964,-3.5444065922346786, -55.373161395462354,-3.584054811804755, -55.37259021214626,-3.584626571751166, -55.29458253503911,-3.6016219244556553, -55.014353617271716,-3.6625735537858928, -54.07793290501887,-3.865459172557273, -53.735580916973504,-3.9393134938744896, -53.73520331655599,-3.938547589434413, -53.718768947952725,-3.86122537436303, -53.70737457405889,-3.807530926964977, -53.48555398186404,-2.7615188707539584, -53.36693009425013,-2.202360890158559, -53.366933388297596,-2.2010103296732737)",LANDSAT/LC08/C01/T1_SR/LC08_227062_20180721,1.53218084557E12,1.53218084557E12,1533369762718241,"{""type"":""Polygon"",""coordinates"":[[[-53.366933388297596,-2.2010103296732737],[-53.369769205230604,-2.2003044942914354],[-53.4829919066625,-2.1760432107253407],[-54.8713723170267,-1.8775971710317991],[-55.00182875504892,-1.8494724999162522],[-55.00219873375731,-1.8496975146261834],[-55.008901505650854,-1.880951063699249],[-55.18686564631079,-2.7126152874311207],[-55.36471096773964,-3.5444065922346786],[-55.373161395462354,-3.584054811804755],[-55.37259021214626,-3.584626571751166],[-55.29458253503911,-3.6016219244556553],[-55.014353617271716,-3.6625735537858928],[-54.07793290501887,-3.865459172557273],[-53.735580916973504,-3.9393134938744896],[-53.73520331655599,-3.938547589434413],[-53.718768947952725,-3.86122537436303],[-53.70737457405889,-3.807530926964977],[-53.48555398186404,-2.7615188707539584],[-53.36693009425013,-2.202360890158559],[-53.366933388297596,-2.2010103296732737]]]}"
