system:index,CLOUD_COVER,CLOUD_COVER_LAND,EARTH_SUN_DISTANCE,ESPA_VERSION,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,IMAGE_QUALITY,LANDSAT_ID,LEVEL1_PRODUCTION_DATE,PIXEL_QA_VERSION,SATELLITE,SENSING_TIME,SOLAR_AZIMUTH_ANGLE,SOLAR_ZENITH_ANGLE,SR_APP_VERSION,WRS_PATH,WRS_ROW,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_start,system:version,.geo
1_2_LE07_226061_20030408,6.0,6.0,1.001265,2_19_0c,6.345,3.469,5.313,9.0,LE07_L1TP_226061_20030408_20170125_01_T1,1.485364856E12,generate_pixel_qa_1.5.0,LANDSAT_7,2003-04-08T13:30:23.7939457Z,73.73674,31.622238,LEDAPS_3.2.0,226.0,61.0,330335794,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.265783808533726,-2.1825155995150385, -51.90170223551148,-2.3800328372577013, -51.89913966428527,-2.3753145730703604, -51.88908456987334,-2.329219387771028, -51.86446583303754,-2.215795469161191, -51.69014910144745,-1.3940969801903218, -51.56491256916558,-0.7994804550873829, -51.55437862413044,-0.7467685173475777, -51.555262956540126,-0.7432055304358822, -52.485431159787176,-0.6081847225555097, -52.849901280678104,-0.5552606239046801, -53.196561437298314,-0.5049318506159581, -53.19898387929673,-0.5082826286044156, -53.20124452977514,-0.5173725138303237, -53.21373789742369,-0.575124024796828, -53.31703017052531,-1.0590988468762663, -53.48682280341795,-1.8545517933657236, -53.54059323237527,-2.10676117649644, -53.5460159885161,-2.134372007671604, -53.54573186095767,-2.1418270495023646, -53.265783808533726,-2.1825155995150385)",LANDSAT/LE07/C01/T1_SR/LE07_226061_20030408,1.04980862379E12,1523005499838672,"{""type"":""Polygon"",""coordinates"":[[[-53.265783808533726,-2.1825155995150385],[-51.90170223551148,-2.3800328372577013],[-51.89913966428527,-2.3753145730703604],[-51.88908456987334,-2.329219387771028],[-51.86446583303754,-2.215795469161191],[-51.69014910144745,-1.3940969801903218],[-51.56491256916558,-0.7994804550873829],[-51.55437862413044,-0.7467685173475777],[-51.555262956540126,-0.7432055304358822],[-52.485431159787176,-0.6081847225555097],[-52.849901280678104,-0.5552606239046801],[-53.196561437298314,-0.5049318506159581],[-53.19898387929673,-0.5082826286044156],[-53.20124452977514,-0.5173725138303237],[-53.21373789742369,-0.575124024796828],[-53.31703017052531,-1.0590988468762663],[-53.48682280341795,-1.8545517933657236],[-53.54059323237527,-2.10676117649644],[-53.5460159885161,-2.134372007671604],[-53.54573186095767,-2.1418270495023646],[-53.265783808533726,-2.1825155995150385]]]}"
1_2_LE07_227061_20030720,8.0,8.0,1.016163,2_19_0c,4.305,2.65,3.393,9.0,LE07_L1TP_227061_20030720_20170124_01_T1,1.485301705E12,generate_pixel_qa_1.5.0,LANDSAT_7,2003-07-20T13:36:21.4742836Z,52.761246,38.062145,LEDAPS_3.2.0,227.0,61.0,290201485,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.10484762313757,-0.7443374171036584, -53.11153216182863,-0.7433341536857782, -54.10528937259057,-0.5965020122689575, -54.74738478349676,-0.5015143756610587, -54.74989026888117,-0.5102133545549642, -54.90615372933663,-1.2403083450323376, -55.06217864717787,-1.9705275733672074, -55.091940702024,-2.1102648287663714, -55.09751363325134,-2.1376269325221053, -55.095899424164834,-2.1392467864139055, -53.4524140705728,-2.3819667293038798, -53.44945913179345,-2.370249948620237, -53.43774077117861,-2.3179331793390467, -53.3541072203981,-1.9244225014926781, -53.23910978344479,-1.381969817824287, -53.18351893444641,-1.1197336588155082, -53.11500913380654,-0.7960459181965559, -53.108046655601505,-0.7611048447365388, -53.10484762313757,-0.7443374171036584)",LANDSAT/LE07/C01/T1_SR/LE07_227061_20030720,1.05870818147E12,1522995826757145,"{""type"":""Polygon"",""coordinates"":[[[-53.10484762313757,-0.7443374171036584],[-53.11153216182863,-0.7433341536857782],[-54.10528937259057,-0.5965020122689575],[-54.74738478349676,-0.5015143756610587],[-54.74989026888117,-0.5102133545549642],[-54.90615372933663,-1.2403083450323376],[-55.06217864717787,-1.9705275733672074],[-55.091940702024,-2.1102648287663714],[-55.09751363325134,-2.1376269325221053],[-55.095899424164834,-2.1392467864139055],[-53.4524140705728,-2.3819667293038798],[-53.44945913179345,-2.370249948620237],[-53.43774077117861,-2.3179331793390467],[-53.3541072203981,-1.9244225014926781],[-53.23910978344479,-1.381969817824287],[-53.18351893444641,-1.1197336588155082],[-53.11500913380654,-0.7960459181965559],[-53.108046655601505,-0.7611048447365388],[-53.10484762313757,-0.7443374171036584]]]}"
1_2_LE07_227061_20030821,8.0,8.0,1.011657,2_19_0c,5.459,1.909,5.114,9.0,LE07_L1TP_227061_20030821_20170124_01_T1,1.485282654E12,generate_pixel_qa_1.5.0,LANDSAT_7,2003-08-21T13:36:13.0028874Z,65.268806,33.555351,LEDAPS_3.2.0,227.0,61.0,284006468,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-55.09949011329217,-2.1383762687009544, -55.097889248450166,-2.1396614962591904, -53.45303002033986,-2.3820590403328454, -53.4502664067085,-2.370248866055797, -53.431458130478134,-2.2835724532304615, -53.36824344247622,-1.9856691451548432, -53.29598326778532,-1.6445111662046077, -53.1978344768289,-1.181605458129143, -53.14232565300887,-0.9184746451668176, -53.1147485562765,-0.7871099283261389, -53.10939161532354,-0.7608340175878898, -53.1064349357098,-0.7440798277160852, -54.749246163983095,-0.5018785607764913, -54.75177576079021,-0.5104842362668625, -54.763073938826565,-0.5628418422687239, -54.897836803691554,-1.1924287945935503, -55.0324203986556,-1.822115672224402, -55.08685974693092,-2.0778848331177184, -55.09949011329217,-2.1383762687009544)",LANDSAT/LE07/C01/T1_SR/LE07_227061_20030821,1.061472973E12,1522995827311843,"{""type"":""Polygon"",""coordinates"":[[[-55.09949011329217,-2.1383762687009544],[-55.097889248450166,-2.1396614962591904],[-53.45303002033986,-2.3820590403328454],[-53.4502664067085,-2.370248866055797],[-53.431458130478134,-2.2835724532304615],[-53.36824344247622,-1.9856691451548432],[-53.29598326778532,-1.6445111662046077],[-53.1978344768289,-1.181605458129143],[-53.14232565300887,-0.9184746451668176],[-53.1147485562765,-0.7871099283261389],[-53.10939161532354,-0.7608340175878898],[-53.1064349357098,-0.7440798277160852],[-54.749246163983095,-0.5018785607764913],[-54.75177576079021,-0.5104842362668625],[-54.763073938826565,-0.5628418422687239],[-54.897836803691554,-1.1924287945935503],[-55.0324203986556,-1.822115672224402],[-55.08685974693092,-2.0778848331177184],[-55.09949011329217,-2.1383762687009544]]]}"
1_2_LE07_227061_20031024,6.0,6.0,0.994667,2_19_0c,4.321,2.83,3.265,9.0,LE07_L1TP_227061_20031024_20170123_01_T1,1.485194718E12,generate_pixel_qa_1.5.0,LANDSAT_7,2003-10-24T13:36:10.1293494Z,112.756012,27.946365,LEDAPS_3.2.0,227.0,61.0,290028495,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.12752270262439,-0.7437293149439558, -53.300126317505836,-0.7181620843274186, -53.685807322517924,-0.661016561339798, -54.179076805507556,-0.5878588859258439, -54.77061350907472,-0.5000778805521593, -54.77332786533668,-0.5085889587235644, -54.77695784901683,-0.524602166466429, -54.948128467341135,-1.3223922750635055, -55.11963273159218,-2.1231391132693, -55.12232286585509,-2.136300732364012, -55.12078681445451,-2.1378421925892694, -53.47536912819471,-2.3814494046587655, -53.472084410727334,-2.3697726158112467, -53.4678171308908,-2.3524159176812125, -53.40416670196308,-2.055093730809566, -53.32418032153871,-1.678962448120036, -53.23726402914715,-1.2678120854358588, -53.149220187359,-0.8521550401010581, -53.1284976418808,-0.751637700713688, -53.12752270262439,-0.7437293149439558)",LANDSAT/LE07/C01/T1_SR/LE07_227061_20031024,1.06700257013E12,1522995827878086,"{""type"":""Polygon"",""coordinates"":[[[-53.12752270262439,-0.7437293149439558],[-53.300126317505836,-0.7181620843274186],[-53.685807322517924,-0.661016561339798],[-54.179076805507556,-0.5878588859258439],[-54.77061350907472,-0.5000778805521593],[-54.77332786533668,-0.5085889587235644],[-54.77695784901683,-0.524602166466429],[-54.948128467341135,-1.3223922750635055],[-55.11963273159218,-2.1231391132693],[-55.12232286585509,-2.136300732364012],[-55.12078681445451,-2.1378421925892694],[-53.47536912819471,-2.3814494046587655],[-53.472084410727334,-2.3697726158112467],[-53.4678171308908,-2.3524159176812125],[-53.40416670196308,-2.055093730809566],[-53.32418032153871,-1.678962448120036],[-53.23726402914715,-1.2678120854358588],[-53.149220187359,-0.8521550401010581],[-53.1284976418808,-0.751637700713688],[-53.12752270262439,-0.7437293149439558]]]}"
1_2_LE07_227062_20030720,3.0,3.0,1.016163,2_19_0c,5.159,2.66,4.42,9.0,LE07_L1TP_227062_20030720_20170125_01_T1,1.485302584E12,generate_pixel_qa_1.5.0,LANDSAT_7,2003-07-20T13:36:45.3913319Z,51.495609,39.114288,LEDAPS_3.2.0,227.0,62.0,250371374,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-55.054979548394506,-1.9529451875222368, -55.05842860908623,-1.9529492387421892, -55.10507725928389,-2.17158598953833, -55.14608838459738,-2.3642408065541174, -55.23906993544694,-2.8019458913652855, -55.38184105787329,-3.474984271982419, -55.40032104198041,-3.5626484043486384, -55.403945666337535,-3.5807384233176114, -55.404965808040345,-3.590465314798643, -55.173443467890515,-3.6238538042858006, -53.75847410339035,-3.8263993423389797, -53.756183352065314,-3.82408092673878, -53.67632554488188,-3.4465021582556483, -53.537466460935306,-2.79038926195431, -53.43374414246843,-2.300584099823487, -53.4209694955059,-2.2390604356962513, -53.41222566342317,-2.196520039460592, -53.411918720334164,-2.1883077265130098, -54.312413359643756,-2.0595513917417776, -55.054979548394506,-1.9529451875222368)",LANDSAT/LE07/C01/T1_SR/LE07_227062_20030720,1.05870820539E12,1522995984671450,"{""type"":""Polygon"",""coordinates"":[[[-55.054979548394506,-1.9529451875222368],[-55.05842860908623,-1.9529492387421892],[-55.10507725928389,-2.17158598953833],[-55.14608838459738,-2.3642408065541174],[-55.23906993544694,-2.8019458913652855],[-55.38184105787329,-3.474984271982419],[-55.40032104198041,-3.5626484043486384],[-55.403945666337535,-3.5807384233176114],[-55.404965808040345,-3.590465314798643],[-55.173443467890515,-3.6238538042858006],[-53.75847410339035,-3.8263993423389797],[-53.756183352065314,-3.82408092673878],[-53.67632554488188,-3.4465021582556483],[-53.537466460935306,-2.79038926195431],[-53.43374414246843,-2.300584099823487],[-53.4209694955059,-2.2390604356962513],[-53.41222566342317,-2.196520039460592],[-53.411918720334164,-2.1883077265130098],[-54.312413359643756,-2.0595513917417776],[-55.054979548394506,-1.9529451875222368]]]}"
1_2_LE07_227062_20030821,2.0,2.0,1.011657,2_19_0c,5.169,2.539,4.502,9.0,LE07_L1TP_227062_20030821_20170124_01_T1,1.485228939E12,generate_pixel_qa_1.5.0,LANDSAT_7,2003-08-21T13:36:36.9214315Z,63.47155,34.368256,LEDAPS_3.2.0,227.0,62.0,252101539,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.62937666693015,-3.219017010424162, -53.562725338655454,-2.903980810707397, -53.423909798432696,-2.2480069492680594, -53.41858761975314,-2.2217162260651095, -53.413557028157626,-2.1960906685096604, -53.41325205727283,-2.1882783518841076, -54.326698500207385,-2.05794880189288, -55.06013312833489,-1.9528756230508937, -55.079566751185126,-2.0438208018999373, -55.14422324003983,-2.347148098755477, -55.240958898037206,-2.8016774631265897, -55.38560466757698,-3.484486274576088, -55.40033548443431,-3.554237608784963, -55.405809853842435,-3.581150749447601, -55.406921493148054,-3.5909804974007855, -55.390999740535584,-3.593292949819234, -55.2531361032854,-3.6131448591752218, -53.760063034555614,-3.826534731215084, -53.75797363205395,-3.825124076758272, -53.74423296875566,-3.761607061927216, -53.62937666693015,-3.219017010424162)",LANDSAT/LE07/C01/T1_SR/LE07_227062_20030821,1.06147299692E12,1522995985085696,"{""type"":""Polygon"",""coordinates"":[[[-53.62937666693015,-3.219017010424162],[-53.562725338655454,-2.903980810707397],[-53.423909798432696,-2.2480069492680594],[-53.41858761975314,-2.2217162260651095],[-53.413557028157626,-2.1960906685096604],[-53.41325205727283,-2.1882783518841076],[-54.326698500207385,-2.05794880189288],[-55.06013312833489,-1.9528756230508937],[-55.079566751185126,-2.0438208018999373],[-55.14422324003983,-2.347148098755477],[-55.240958898037206,-2.8016774631265897],[-55.38560466757698,-3.484486274576088],[-55.40033548443431,-3.554237608784963],[-55.405809853842435,-3.581150749447601],[-55.406921493148054,-3.5909804974007855],[-55.390999740535584,-3.593292949819234],[-55.2531361032854,-3.6131448591752218],[-53.760063034555614,-3.826534731215084],[-53.75797363205395,-3.825124076758272],[-53.74423296875566,-3.761607061927216],[-53.62937666693015,-3.219017010424162]]]}"
2_LT05_226062_20030822,8.0,8.0,1.011451,2_19_0c,4.027,2.773,2.92,9.0,LT05_L1TP_226062_20030822_20161204_01_T1,1.480891329E12,generate_pixel_qa_1.5.0,LANDSAT_5,2003-08-22T13:19:08.1200130Z,65.758759,36.695004,LEDAPS_3.2.0,226.0,62.0,331187563,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-52.175044735239986,-3.806803855872193, -52.16960751450432,-3.7813034587228094, -52.003477417817564,-3.0001074148549716, -51.83748353627602,-2.21749183598256, -51.83748200496722,-2.214790479399377, -51.86064525016469,-2.209310566812209, -51.87854202105147,-2.2066810841082694, -52.02221418604701,-2.1857912576755543, -52.509461297541456,-2.114861194839493, -52.97462490422347,-2.0470384369196295, -53.506897899705706,-1.9692819191441424, -53.539538689882775,-1.9645396245584432, -53.541430950402194,-1.9724194735687874, -53.652842122247826,-2.48724624886796, -53.76454226709024,-3.001964653566112, -53.881558502349684,-3.5613967912557487, -53.881564471838644,-3.5633278652652542, -53.86598683058988,-3.5697616618166457, -52.17707563291224,-3.8160689581322855, -52.175044735239986,-3.806803855872193)",LANDSAT/LT05/C01/T1_SR/LT05_226062_20030822,1.06155834812E12,1521903469183472,"{""type"":""Polygon"",""coordinates"":[[[-52.175044735239986,-3.806803855872193],[-52.16960751450432,-3.7813034587228094],[-52.003477417817564,-3.0001074148549716],[-51.83748353627602,-2.21749183598256],[-51.83748200496722,-2.214790479399377],[-51.86064525016469,-2.209310566812209],[-51.87854202105147,-2.2066810841082694],[-52.02221418604701,-2.1857912576755543],[-52.509461297541456,-2.114861194839493],[-52.97462490422347,-2.0470384369196295],[-53.506897899705706,-1.9692819191441424],[-53.539538689882775,-1.9645396245584432],[-53.541430950402194,-1.9724194735687874],[-53.652842122247826,-2.48724624886796],[-53.76454226709024,-3.001964653566112],[-53.881558502349684,-3.5613967912557487],[-53.881564471838644,-3.5633278652652542],[-53.86598683058988,-3.5697616618166457],[-52.17707563291224,-3.8160689581322855],[-52.175044735239986,-3.806803855872193]]]}"
