system:index,CLOUD_COVER,CLOUD_COVER_LAND,EARTH_SUN_DISTANCE,ESPA_VERSION,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,IMAGE_QUALITY,LANDSAT_ID,LEVEL1_PRODUCTION_DATE,PIXEL_QA_VERSION,SATELLITE,SENSING_TIME,SOLAR_AZIMUTH_ANGLE,SOLAR_ZENITH_ANGLE,SR_APP_VERSION,WRS_PATH,WRS_ROW,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_start,system:version,.geo
2_LT05_226061_19910906,18.0,18.0,1.007978,2_19_0c,6.431,3.383,5.469,9.0,LT05_L1TP_226061_19910906_20170125_01_T1,1.485363068E12,generate_pixel_qa_1.5.0,LANDSAT_5,1991-09-06T13:05:27.4310560Z,77.078339,36.66087,LEDAPS_3.2.0,226.0,61.0,337220120,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-52.95082905404698,-0.5513420244141047, -53.23751443477174,-0.5095823057612359, -53.24153279622194,-0.5114476036032733, -53.24830989171149,-0.5384241009058629, -53.2877229507667,-0.7203900840441164, -53.380959769311865,-1.1555910290667974, -53.54187758856283,-1.909184964944575, -53.57961402770815,-2.0881429651798764, -53.586527528947926,-2.1228962109134035, -53.58526950584062,-2.1263948301674187, -53.37220067341763,-2.157550857922572, -52.894307096924955,-2.2272489261007777, -51.94200040045826,-2.3656015039845935, -51.937659917700074,-2.348187582089935, -51.8708388428859,-2.034778052098654, -51.71169091992584,-1.286074801624573, -51.63611239421903,-0.9292016049240682, -51.60859002332575,-0.7983890433227168, -51.59968229932111,-0.7546731163713314, -51.599370458246185,-0.7481001097812919, -52.16306864458432,-0.6660646873438787, -52.95082905404698,-0.5513420244141047)",LANDSAT/LT05/C01/T1_SR/LT05_226061_19910906,6.84162327431E11,1521903355701058,"{""type"":""Polygon"",""coordinates"":[[[-52.95082905404698,-0.5513420244141047],[-53.23751443477174,-0.5095823057612359],[-53.24153279622194,-0.5114476036032733],[-53.24830989171149,-0.5384241009058629],[-53.2877229507667,-0.7203900840441164],[-53.380959769311865,-1.1555910290667974],[-53.54187758856283,-1.909184964944575],[-53.57961402770815,-2.0881429651798764],[-53.586527528947926,-2.1228962109134035],[-53.58526950584062,-2.1263948301674187],[-53.37220067341763,-2.157550857922572],[-52.894307096924955,-2.2272489261007777],[-51.94200040045826,-2.3656015039845935],[-51.937659917700074,-2.348187582089935],[-51.8708388428859,-2.034778052098654],[-51.71169091992584,-1.286074801624573],[-51.63611239421903,-0.9292016049240682],[-51.60859002332575,-0.7983890433227168],[-51.59968229932111,-0.7546731163713314],[-51.599370458246185,-0.7481001097812919],[-52.16306864458432,-0.6660646873438787],[-52.95082905404698,-0.5513420244141047]]]}"
2_LT05_227061_19910625,8.0,8.0,1.016485,2_19_0c,4.518,3.197,3.193,9.0,LT05_L1TP_227061_19910625_20170126_01_T1,1.485409275E12,generate_pixel_qa_1.5.0,LANDSAT_5,1991-06-25T13:10:51.8490690Z,53.105934,43.764706,LEDAPS_3.2.0,227.0,61.0,317080107,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.151842662553335,-0.7433654107882872, -53.15259350675716,-0.7411042412323328, -53.393773488658255,-0.7057771014234255, -53.83010342753666,-0.6418703417786835, -54.793760110835876,-0.5006715535406889, -54.79888415870924,-0.502494127713105, -54.80134683653496,-0.5110444488632657, -54.81103203679749,-0.5555369454739537, -54.85754866795871,-0.7722657080123171, -54.99937589022628,-1.433918857271463, -55.1386184520536,-2.0859148420826177, -55.14243510078672,-2.112465664828274, -55.141772399883564,-2.116108069448881, -55.13571477770743,-2.117038142217808, -53.494828014623195,-2.3570963276798182, -53.492041172966786,-2.3486155861108546, -53.45771465191356,-2.187681853162264, -53.32546197128222,-1.565476087014182, -53.18511607653636,-0.904438697784285, -53.15780208318716,-0.7738795131865472, -53.151842662553335,-0.7433654107882872)",LANDSAT/LT05/C01/T1_SR/LT05_227061_19910625,6.77855451849E11,1521902140865371,"{""type"":""Polygon"",""coordinates"":[[[-53.151842662553335,-0.7433654107882872],[-53.15259350675716,-0.7411042412323328],[-53.393773488658255,-0.7057771014234255],[-53.83010342753666,-0.6418703417786835],[-54.793760110835876,-0.5006715535406889],[-54.79888415870924,-0.502494127713105],[-54.80134683653496,-0.5110444488632657],[-54.81103203679749,-0.5555369454739537],[-54.85754866795871,-0.7722657080123171],[-54.99937589022628,-1.433918857271463],[-55.1386184520536,-2.0859148420826177],[-55.14243510078672,-2.112465664828274],[-55.141772399883564,-2.116108069448881],[-55.13571477770743,-2.117038142217808],[-53.494828014623195,-2.3570963276798182],[-53.492041172966786,-2.3486155861108546],[-53.45771465191356,-2.187681853162264],[-53.32546197128222,-1.565476087014182],[-53.18511607653636,-0.904438697784285],[-53.15780208318716,-0.7738795131865472],[-53.151842662553335,-0.7433654107882872]]]}"
2_LT05_227061_19911015,5.0,5.0,0.997149,2_19_0c,6.565,3.677,5.439,9.0,LT05_L1TP_227061_19911015_20170126_01_T1,1.485392212E12,generate_pixel_qa_1.5.0,LANDSAT_5,1991-10-15T13:11:57.5190690Z,103.304604,33.242512,LEDAPS_3.2.0,227.0,61.0,279176533,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.15311008610029,-0.7481584126558043, -53.1523473301788,-0.7400208999608953, -53.64058378544431,-0.668843324148205, -54.794513074970915,-0.5004607643320907, -54.79862661538456,-0.5022372141981627, -54.8164107215683,-0.5804899545659126, -54.86319372366083,-0.7980353481027125, -55.05519682977289,-1.6949196446096004, -55.10160643876606,-1.912522548317737, -55.13965010753773,-2.092968286306464, -55.142925688026,-2.116234114684575, -53.49423506799035,-2.356927752920844, -53.48008649022494,-2.2914906897135032, -53.42707768791587,-2.0437682751057356, -53.3604212575455,-1.7302246077486945, -53.275652791627515,-1.3298908184081912, -53.19073920834479,-0.9296304912607725, -53.16479177309111,-0.805796293422956, -53.15311008610029,-0.7481584126558043)",LANDSAT/LT05/C01/T1_SR/LT05_227061_19911015,6.87532317519E11,1521902143835287,"{""type"":""Polygon"",""coordinates"":[[[-53.15311008610029,-0.7481584126558043],[-53.1523473301788,-0.7400208999608953],[-53.64058378544431,-0.668843324148205],[-54.794513074970915,-0.5004607643320907],[-54.79862661538456,-0.5022372141981627],[-54.8164107215683,-0.5804899545659126],[-54.86319372366083,-0.7980353481027125],[-55.05519682977289,-1.6949196446096004],[-55.10160643876606,-1.912522548317737],[-55.13965010753773,-2.092968286306464],[-55.142925688026,-2.116234114684575],[-53.49423506799035,-2.356927752920844],[-53.48008649022494,-2.2914906897135032],[-53.42707768791587,-2.0437682751057356],[-53.3604212575455,-1.7302246077486945],[-53.275652791627515,-1.3298908184081912],[-53.19073920834479,-0.9296304912607725],[-53.16479177309111,-0.805796293422956],[-53.15311008610029,-0.7481584126558043]]]}"
2_LT05_227062_19910625,4.0,4.0,1.016485,2_19_0c,4.559,2.998,3.434,9.0,LT05_L1TP_227062_19910625_20170126_01_T1,1.485409524E12,generate_pixel_qa_1.5.0,LANDSAT_5,1991-06-25T13:11:15.8840630Z,52.061081,44.813663,LEDAPS_3.2.0,227.0,62.0,272736797,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.867139216461965,-3.800480159522632, -53.803272514620254,-3.809743942418205, -53.80207138568317,-3.805460942974191, -53.78905811878764,-3.749039634078401, -53.556447311417465,-2.653087924514521, -53.46410486747515,-2.2180336938693634, -53.460104858849306,-2.196286567919556, -53.460754677789055,-2.1940186539840316, -53.799807910613666,-2.144502495491473, -54.20215538884467,-2.085656337723123, -54.646935144836476,-2.020490847790936, -55.10524719736586,-1.9532279322862234, -55.110423695966894,-1.9549705785954006, -55.138616515395725,-2.085905607734039, -55.279221027270005,-2.7423215085017256, -55.419764950386444,-3.398811284114621, -55.454924874327496,-3.564939635952551, -55.452844221300495,-3.568509665072118, -55.26981248567535,-3.595456660474476, -53.867139216461965,-3.800480159522632)",LANDSAT/LT05/C01/T1_SR/LT05_227062_19910625,6.77855475884E11,1521902316189731,"{""type"":""Polygon"",""coordinates"":[[[-53.867139216461965,-3.800480159522632],[-53.803272514620254,-3.809743942418205],[-53.80207138568317,-3.805460942974191],[-53.78905811878764,-3.749039634078401],[-53.556447311417465,-2.653087924514521],[-53.46410486747515,-2.2180336938693634],[-53.460104858849306,-2.196286567919556],[-53.460754677789055,-2.1940186539840316],[-53.799807910613666,-2.144502495491473],[-54.20215538884467,-2.085656337723123],[-54.646935144836476,-2.020490847790936],[-55.10524719736586,-1.9532279322862234],[-55.110423695966894,-1.9549705785954006],[-55.138616515395725,-2.085905607734039],[-55.279221027270005,-2.7423215085017256],[-55.419764950386444,-3.398811284114621],[-55.454924874327496,-3.564939635952551],[-55.452844221300495,-3.568509665072118],[-55.26981248567535,-3.595456660474476],[-53.867139216461965,-3.800480159522632]]]}"
2_LT05_227062_19910727,8.0,8.0,1.015543,2_19_0c,4.333,3.177,2.947,9.0,LT05_L1TP_227062_19910727_20170126_01_T1,1.485390475E12,generate_pixel_qa_1.5.0,LANDSAT_5,1991-07-27T13:11:41.1810690Z,57.854073,43.555134,LEDAPS_3.2.0,227.0,62.0,259285431,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.80669387164447,-3.7954497122076343, -53.80377261781288,-3.7824243727502274, -53.66284637905495,-3.1213147643144983, -53.569703029652416,-2.68184308605405, -53.47643456856275,-2.2424465850518627, -53.46764577513597,-2.1988635439128914, -53.46766152533586,-2.192155530538769, -54.034520607870384,-2.1094708711744734, -55.11019432038365,-1.952041326014952, -55.114192446414286,-1.953903494107769, -55.12058443421443,-1.9756561988822448, -55.149642958306494,-2.1103333195643144, -55.300565001667394,-2.81519445766122, -55.45142497730554,-3.5201388413715775, -55.460641600975954,-3.5640785453050934, -55.45840124730051,-3.567602816409772, -55.43431456703224,-3.5711585412575113, -55.305002200151755,-3.5901992892412604, -53.81023797339589,-3.8085083638747923, -53.80669387164447,-3.7954497122076343)",LANDSAT/LT05/C01/T1_SR/LT05_227062_19910727,6.80620301181E11,1521902316827758,"{""type"":""Polygon"",""coordinates"":[[[-53.80669387164447,-3.7954497122076343],[-53.80377261781288,-3.7824243727502274],[-53.66284637905495,-3.1213147643144983],[-53.569703029652416,-2.68184308605405],[-53.47643456856275,-2.2424465850518627],[-53.46764577513597,-2.1988635439128914],[-53.46766152533586,-2.192155530538769],[-54.034520607870384,-2.1094708711744734],[-55.11019432038365,-1.952041326014952],[-55.114192446414286,-1.953903494107769],[-55.12058443421443,-1.9756561988822448],[-55.149642958306494,-2.1103333195643144],[-55.300565001667394,-2.81519445766122],[-55.45142497730554,-3.5201388413715775],[-55.460641600975954,-3.5640785453050934],[-55.45840124730051,-3.567602816409772],[-55.43431456703224,-3.5711585412575113],[-55.305002200151755,-3.5901992892412604],[-53.81023797339589,-3.8085083638747923],[-53.80669387164447,-3.7954497122076343]]]}"
