system:index,CLOUD_COVER,CLOUD_COVER_LAND,EARTH_SUN_DISTANCE,ESPA_VERSION,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,IMAGE_QUALITY_OLI,IMAGE_QUALITY_TIRS,LANDSAT_ID,LEVEL1_PRODUCTION_DATE,PIXEL_QA_VERSION,SATELLITE,SENSING_TIME,SOLAR_AZIMUTH_ANGLE,SOLAR_ZENITH_ANGLE,SR_APP_VERSION,WRS_PATH,WRS_ROW,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_end,system:time_start,system:version,.geo
1_LC08_226061_20191005,10.1,10.13,1.0001,2_23_0_1b,9.619,7.262,6.308,9.0,9.0,LC08_L1TP_226061_20191005_20191018_01_T1,1.571386067E12,generate_pixel_qa_1.6.0,LANDSAT_8,2019-10-05T13:42:00.4245059Z,98.358864,24.325462,LaSRC_1.3.0,226.0,61.0,584977405,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-51.92314850857482,-2.487521020540416, -51.89739377353389,-2.4930697037951584, -51.896311639099466,-2.493070478259836, -51.894311248400484,-2.4839028612965053, -51.711256440646025,-1.6211140010822223, -51.5278635271832,-0.7551817561121319, -51.52843391207029,-0.7546074359771985, -53.16040737173042,-0.4045335634755344, -53.16198578202958,-0.4045331435119635, -53.164215405748266,-0.4147810930663601, -53.25032669665432,-0.8191292835704055, -53.29545540669893,-1.0309103573701823, -53.40803140508575,-1.5588082223106452, -53.465225643507225,-1.8269234717860061, -53.50131196071237,-1.9960750315333884, -53.52853529670143,-2.1237477321053, -53.53185589654029,-2.139487549668609, -53.02378628599065,-2.249585875873764, -52.41092101221908,-2.3821790008110106, -51.92314850857482,-2.487521020540416)",LANDSAT/LC08/C01/T1_SR/LC08_226061_20191005,1.570282920424E12,1.570282920424E12,1571566269095473,"{""type"":""Polygon"",""coordinates"":[[[-51.92314850857482,-2.487521020540416],[-51.89739377353389,-2.4930697037951584],[-51.896311639099466,-2.493070478259836],[-51.894311248400484,-2.4839028612965053],[-51.711256440646025,-1.6211140010822223],[-51.5278635271832,-0.7551817561121319],[-51.52843391207029,-0.7546074359771985],[-53.16040737173042,-0.4045335634755344],[-53.16198578202958,-0.4045331435119635],[-53.164215405748266,-0.4147810930663601],[-53.25032669665432,-0.8191292835704055],[-53.29545540669893,-1.0309103573701823],[-53.40803140508575,-1.5588082223106452],[-53.465225643507225,-1.8269234717860061],[-53.50131196071237,-1.9960750315333884],[-53.52853529670143,-2.1237477321053],[-53.53185589654029,-2.139487549668609],[-53.02378628599065,-2.249585875873764],[-52.41092101221908,-2.3821790008110106],[-51.92314850857482,-2.487521020540416]]]}"
1_LC08_226062_20190701,7.07,7.07,1.016719,2_23_0_1b,9.0,7.27,5.307,9.0,9.0,LC08_L1TP_226062_20190701_20190706_01_T1,1.562402171E12,generate_pixel_qa_1.6.0,LANDSAT_8,2019-07-01T13:41:56.4983970Z,45.23251,37.910866,LaSRC_1.3.0,226.0,62.0,572200122,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.84447703422491,-3.584795896372381, -53.84319297594784,-3.585230357282791, -53.44316932907163,-3.6720140173948344, -52.419972501504986,-3.8931936251363135, -52.25631522986799,-3.928457433271419, -52.20804956823648,-3.938845990098598, -52.20703770800131,-3.9388474605123256, -52.20466033636228,-3.9277830652686427, -52.02243917486801,-3.071188279298424, -51.84072483069885,-2.2144512253532533, -51.83785314687788,-2.2006878134745054, -51.839088447588544,-2.200272807130214, -53.397853010616416,-1.8658567671027346, -53.46898133781819,-1.850572228840847, -53.47328843314481,-1.849699154119277, -53.524635851569776,-2.089857449954899, -53.61705889553965,-2.522159091441105, -53.72523411286467,-3.0270052271514425, -53.83399006349967,-3.534997465022482, -53.8440646747551,-3.582356627054562, -53.84447703422491,-3.584795896372381)",LANDSAT/LC08/C01/T1_SR/LC08_226062_20190701,1.5619885165E12,1.5619885165E12,1563396478183857,"{""type"":""Polygon"",""coordinates"":[[[-53.84447703422491,-3.584795896372381],[-53.84319297594784,-3.585230357282791],[-53.44316932907163,-3.6720140173948344],[-52.419972501504986,-3.8931936251363135],[-52.25631522986799,-3.928457433271419],[-52.20804956823648,-3.938845990098598],[-52.20703770800131,-3.9388474605123256],[-52.20466033636228,-3.9277830652686427],[-52.02243917486801,-3.071188279298424],[-51.84072483069885,-2.2144512253532533],[-51.83785314687788,-2.2006878134745054],[-51.839088447588544,-2.200272807130214],[-53.397853010616416,-1.8658567671027346],[-53.46898133781819,-1.850572228840847],[-53.47328843314481,-1.849699154119277],[-53.524635851569776,-2.089857449954899],[-53.61705889553965,-2.522159091441105],[-53.72523411286467,-3.0270052271514425],[-53.83399006349967,-3.534997465022482],[-53.8440646747551,-3.582356627054562],[-53.84447703422491,-3.584795896372381]]]}"
1_LC08_227061_20190724,8.91,8.91,1.015877,2_23_0_1b,8.634,6.5,5.683,9.0,9.0,LC08_L1TP_227061_20190724_20190801_01_T1,1.564647003E12,generate_pixel_qa_1.6.0,LANDSAT_8,2019-07-24T13:47:48.9514340Z,51.456337,35.31815,LaSRC_1.3.0,227.0,61.0,591635247,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.427828348464935,-2.4933828138684295, -53.42647365392971,-2.493379101243049, -53.419329707317665,-2.4598278264372433, -53.34718233593056,-2.1203970029558774, -53.25873038035469,-1.7032126151736922, -53.13883326852547,-1.1380890406749467, -53.0613414856906,-0.7721321124043009, -53.057861070348004,-0.7549231740973434, -53.12252951212151,-0.7410342300019891, -53.59644567947718,-0.6392837341031521, -54.5410944695653,-0.43618060883765525, -54.63295552120354,-0.41641371534132304, -54.689651613170795,-0.4042207313219245, -54.69109359148835,-0.4042211740949027, -54.876082696968396,-1.2698484055654846, -55.06150950512445,-2.139292299763177, -54.94121161284807,-2.1654522028548397, -53.664540228763244,-2.442249589121806, -53.492319654527485,-2.4794640739221188, -53.427828348464935,-2.4933828138684295)",LANDSAT/LC08/C01/T1_SR/LC08_227061_20190724,1.563976068951E12,1.563976068951E12,1564909772323499,"{""type"":""Polygon"",""coordinates"":[[[-53.427828348464935,-2.4933828138684295],[-53.42647365392971,-2.493379101243049],[-53.419329707317665,-2.4598278264372433],[-53.34718233593056,-2.1203970029558774],[-53.25873038035469,-1.7032126151736922],[-53.13883326852547,-1.1380890406749467],[-53.0613414856906,-0.7721321124043009],[-53.057861070348004,-0.7549231740973434],[-53.12252951212151,-0.7410342300019891],[-53.59644567947718,-0.6392837341031521],[-54.5410944695653,-0.43618060883765525],[-54.63295552120354,-0.41641371534132304],[-54.689651613170795,-0.4042207313219245],[-54.69109359148835,-0.4042211740949027],[-54.876082696968396,-1.2698484055654846],[-55.06150950512445,-2.139292299763177],[-54.94121161284807,-2.1654522028548397],[-53.664540228763244,-2.442249589121806],[-53.492319654527485,-2.4794640739221188],[-53.427828348464935,-2.4933828138684295]]]}"
1_LC08_227062_20190724,0.86,0.86,1.015877,2_23_0_1b,9.068,7.083,5.662,9.0,9.0,LC08_L1TP_227062_20190724_20190801_01_T1,1.564646866E12,generate_pixel_qa_1.6.0,LANDSAT_8,2019-07-24T13:48:12.8721260Z,50.095554,36.39394,LaSRC_1.3.0,227.0,62.0,512180686,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.8127442975223,-3.9227635260252898, -53.733178473246014,-3.9399022996815116, -53.732711349336945,-3.938954773283964, -53.71660356225136,-3.863113641043595, -53.5726175886951,-3.184148347591487, -53.48339481553061,-2.762866926355574, -53.36441957817235,-2.20159197548319, -53.36586661861178,-2.2011107245426293, -53.39785820088455,-2.194260522578018, -54.95468905900517,-1.8597952679210623, -54.99855559444115,-1.850346014073952, -54.99970138795734,-1.8503472797257579, -55.000176438682935,-1.8517869159801228, -55.00432969475255,-1.8711808599475193, -55.183632862506045,-2.709626430429145, -55.36281423038461,-3.548201341892134, -55.37067633215964,-3.5850183058156673, -55.369669763719365,-3.585521712872388, -55.20073593749946,-3.6222775670760727, -53.99934546853529,-3.882530228242971, -53.8127442975223,-3.9227635260252898)",LANDSAT/LC08/C01/T1_SR/LC08_227062_20190724,1.563976092872E12,1.563976092872E12,1564909922076427,"{""type"":""Polygon"",""coordinates"":[[[-53.8127442975223,-3.9227635260252898],[-53.733178473246014,-3.9399022996815116],[-53.732711349336945,-3.938954773283964],[-53.71660356225136,-3.863113641043595],[-53.5726175886951,-3.184148347591487],[-53.48339481553061,-2.762866926355574],[-53.36441957817235,-2.20159197548319],[-53.36586661861178,-2.2011107245426293],[-53.39785820088455,-2.194260522578018],[-54.95468905900517,-1.8597952679210623],[-54.99855559444115,-1.850346014073952],[-54.99970138795734,-1.8503472797257579],[-55.000176438682935,-1.8517869159801228],[-55.00432969475255,-1.8711808599475193],[-55.183632862506045,-2.709626430429145],[-55.36281423038461,-3.548201341892134],[-55.37067633215964,-3.5850183058156673],[-55.369669763719365,-3.585521712872388],[-55.20073593749946,-3.6222775670760727],[-53.99934546853529,-3.882530228242971],[-53.8127442975223,-3.9227635260252898]]]}"
