system:index,CLOUD_COVER,CLOUD_COVER_LAND,EARTH_SUN_DISTANCE,ESPA_VERSION,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,IMAGE_QUALITY,LANDSAT_ID,LEVEL1_PRODUCTION_DATE,PIXEL_QA_VERSION,SATELLITE,SENSING_TIME,SOLAR_AZIMUTH_ANGLE,SOLAR_ZENITH_ANGLE,SR_APP_VERSION,WRS_PATH,WRS_ROW,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_start,system:version,.geo
1_2_LE07_227061_20010916,5.0,5.0,1.005254,2_19_0c,3.917,2.347,3.136,9.0,LE07_L1TP_227061_20010916_20170203_01_T1,1.486108212E12,generate_pixel_qa_1.5.0,LANDSAT_7,2001-09-16T13:36:18.5695087Z,82.250687,29.00423,LEDAPS_3.2.0,227.0,61.0,335338672,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.45997746827968,-0.7039968882815761, -53.83425811170546,-0.6498281038212821, -54.27494827557,-0.5860250943110514, -54.748410218012914,-0.517491761955951, -54.75095244527101,-0.5210133403153755, -54.75532391443439,-0.5395263618298519, -54.927089084557515,-1.344616606270933, -55.0970454421298,-2.1426513665107474, -55.09653660386892,-2.150189398730538, -53.45303834736229,-2.388386750503792, -53.45000885604984,-2.3827657776099094, -53.42866572130276,-2.2854035527567222, -53.37060148252543,-2.015199331022511, -53.242034130438,-1.4044531060423517, -53.148199321061696,-0.9593719066296716, -53.12089613417502,-0.8285461155330361, -53.10846928657857,-0.7656849801143538, -53.10750446054781,-0.7583502310085533, -53.10781474301515,-0.7549480190548248, -53.45997746827968,-0.7039968882815761)",LANDSAT/LE07/C01/T1_SR/LE07_227061_20010916,1.00064737857E12,1522995797758924,"{""type"":""Polygon"",""coordinates"":[[[-53.45997746827968,-0.7039968882815761],[-53.83425811170546,-0.6498281038212821],[-54.27494827557,-0.5860250943110514],[-54.748410218012914,-0.517491761955951],[-54.75095244527101,-0.5210133403153755],[-54.75532391443439,-0.5395263618298519],[-54.927089084557515,-1.344616606270933],[-55.0970454421298,-2.1426513665107474],[-55.09653660386892,-2.150189398730538],[-53.45303834736229,-2.388386750503792],[-53.45000885604984,-2.3827657776099094],[-53.42866572130276,-2.2854035527567222],[-53.37060148252543,-2.015199331022511],[-53.242034130438,-1.4044531060423517],[-53.148199321061696,-0.9593719066296716],[-53.12089613417502,-0.8285461155330361],[-53.10846928657857,-0.7656849801143538],[-53.10750446054781,-0.7583502310085533],[-53.10781474301515,-0.7549480190548248],[-53.45997746827968,-0.7039968882815761]]]}"
1_2_LE07_227062_20010730,8.0,8.0,1.015159,2_19_0c,3.293,0.958,3.151,9.0,LE07_L1TP_227062_20010730_20170204_01_T1,1.486187897E12,generate_pixel_qa_1.5.0,LANDSAT_7,2001-07-30T13:37:23.0270252Z,54.469254,37.787563,LEDAPS_3.2.0,227.0,62.0,313275811,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.43040857466518,-2.197637271948112, -53.43080732831906,-2.193338869244223, -54.02920582148796,-2.1067798715224715, -54.62329521489411,-2.02063889018847, -55.075678626959544,-1.9549431295620725, -55.078087595475694,-1.9582838787876016, -55.227542153290905,-2.65991154113854, -55.37690183139892,-3.361571673197353, -55.42326856230508,-3.5796254829014114, -55.42295581404158,-3.5871550805761165, -53.77485503801512,-3.8260302683604253, -53.77049102883878,-3.809947427284879, -53.75881340924724,-3.7578690853405603, -53.6733978357656,-3.356806547956038, -53.5742318910287,-2.8858636264986, -53.47492824366167,-2.415007102000346, -53.434471213537435,-2.223381295980876, -53.43100926100982,-2.2057475035368705, -53.43040857466518,-2.197637271948112)",LANDSAT/LE07/C01/T1_SR/LE07_227062_20010730,9.96500243027E11,1522995957828806,"{""type"":""Polygon"",""coordinates"":[[[-53.43040857466518,-2.197637271948112],[-53.43080732831906,-2.193338869244223],[-54.02920582148796,-2.1067798715224715],[-54.62329521489411,-2.02063889018847],[-55.075678626959544,-1.9549431295620725],[-55.078087595475694,-1.9582838787876016],[-55.227542153290905,-2.65991154113854],[-55.37690183139892,-3.361571673197353],[-55.42326856230508,-3.5796254829014114],[-55.42295581404158,-3.5871550805761165],[-53.77485503801512,-3.8260302683604253],[-53.77049102883878,-3.809947427284879],[-53.75881340924724,-3.7578690853405603],[-53.6733978357656,-3.356806547956038],[-53.5742318910287,-2.8858636264986],[-53.47492824366167,-2.415007102000346],[-53.434471213537435,-2.223381295980876],[-53.43100926100982,-2.2057475035368705],[-53.43040857466518,-2.197637271948112]]]}"
1_2_LE07_227062_20010916,5.0,5.0,1.005254,2_19_0c,5.835,2.893,5.067,9.0,LE07_L1TP_227062_20010916_20170203_01_T1,1.486108163E12,generate_pixel_qa_1.5.0,LANDSAT_7,2001-09-16T13:36:42.4954028Z,79.76696,29.433208,LEDAPS_3.2.0,227.0,62.0,309455598,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.666590458880385,-2.1620339754340447, -53.880990159358795,-2.131020471772824, -55.05673102209032,-1.9604848929501866, -55.06082202900121,-1.9770313583020866, -55.09702347600897,-2.142821024454466, -55.223385824816226,-2.7355933463201634, -55.349691939909135,-3.328427546613962, -55.39415357316509,-3.5376762638101513, -55.40516269220438,-3.589921239491447, -55.40483210274655,-3.5928640660981532, -53.75702832459035,-3.8316615067183997, -53.75106247759044,-3.8115018156246614, -53.73037734463784,-3.715490407373702, -53.66779327293306,-3.4188350154307154, -53.57303377466524,-2.9697118049886146, -53.47815114764209,-2.5206666985455937, -53.42839604666892,-2.285401268166706, -53.411887572890876,-2.206781866180723, -53.411581125586835,-2.198927642508179, -53.666590458880385,-2.1620339754340447)",LANDSAT/LE07/C01/T1_SR/LE07_227062_20010916,1.0006474025E12,1522995959479712,"{""type"":""Polygon"",""coordinates"":[[[-53.666590458880385,-2.1620339754340447],[-53.880990159358795,-2.131020471772824],[-55.05673102209032,-1.9604848929501866],[-55.06082202900121,-1.9770313583020866],[-55.09702347600897,-2.142821024454466],[-55.223385824816226,-2.7355933463201634],[-55.349691939909135,-3.328427546613962],[-55.39415357316509,-3.5376762638101513],[-55.40516269220438,-3.589921239491447],[-55.40483210274655,-3.5928640660981532],[-53.75702832459035,-3.8316615067183997],[-53.75106247759044,-3.8115018156246614],[-53.73037734463784,-3.715490407373702],[-53.66779327293306,-3.4188350154307154],[-53.57303377466524,-2.9697118049886146],[-53.47815114764209,-2.5206666985455937],[-53.42839604666892,-2.285401268166706],[-53.411887572890876,-2.206781866180723],[-53.411581125586835,-2.198927642508179],[-53.666590458880385,-2.1620339754340447]]]}"
1_2_LE07_227062_20011103,5.0,5.0,0.991886,2_19_0c,6.999,6.016,3.576,9.0,LE07_L1TP_227062_20011103_20170202_01_T1,1.486055483E12,generate_pixel_qa_1.5.0,LANDSAT_7,2001-11-03T13:36:34.3979730Z,117.124054,28.559738,LEDAPS_3.2.0,227.0,62.0,320699143,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.63967125031076,-3.2848907204273154, -53.56187260607509,-2.9186082370000843, -53.483991223582116,-2.55237849312739, -53.40599220453674,-2.186083799599085, -53.4087764369502,-2.1823678555406, -53.78287251079205,-2.1279365657219764, -54.55183284225324,-2.0157947344067066, -55.05289365870405,-1.9425871765903027, -55.05518488475038,-1.946053803624126, -55.0613670796692,-1.9724227154064828, -55.108019954757154,-2.1903069143498803, -55.24965075169041,-2.852691880509106, -55.39122218142802,-3.5151530710217758, -55.401879489485815,-3.56597711507629, -55.402204831170565,-3.5748791817564873, -53.75398504327509,-3.8152436211621494, -53.74823172827857,-3.795994899196206, -53.71739639094587,-3.6512235243054767, -53.63967125031076,-3.2848907204273154)",LANDSAT/LE07/C01/T1_SR/LE07_227062_20011103,1.0047945944E12,1522995961177589,"{""type"":""Polygon"",""coordinates"":[[[-53.63967125031076,-3.2848907204273154],[-53.56187260607509,-2.9186082370000843],[-53.483991223582116,-2.55237849312739],[-53.40599220453674,-2.186083799599085],[-53.4087764369502,-2.1823678555406],[-53.78287251079205,-2.1279365657219764],[-54.55183284225324,-2.0157947344067066],[-55.05289365870405,-1.9425871765903027],[-55.05518488475038,-1.946053803624126],[-55.0613670796692,-1.9724227154064828],[-55.108019954757154,-2.1903069143498803],[-55.24965075169041,-2.852691880509106],[-55.39122218142802,-3.5151530710217758],[-55.401879489485815,-3.56597711507629],[-55.402204831170565,-3.5748791817564873],[-53.75398504327509,-3.8152436211621494],[-53.74823172827857,-3.795994899196206],[-53.71739639094587,-3.6512235243054767],[-53.63967125031076,-3.2848907204273154]]]}"
2_LT05_226061_20010731,1.0,1.0,1.015038,2_19_0c,5.942,4.519,3.858,9.0,LT05_L1TP_226061_20010731_20161210_01_T1,1.481352793E12,generate_pixel_qa_1.5.0,LANDSAT_5,2001-07-31T13:21:57.6910190Z,57.84272,38.51469,LEDAPS_3.2.0,226.0,61.0,349906444,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-52.293341235941305,-2.322944111250832, -51.939677327062505,-2.3741367988154796, -51.9390413612305,-2.3734980492724422, -51.924140204894286,-2.303414317205369, -51.76368329330886,-1.5465973473164891, -51.59374809346026,-0.7437836922039189, -51.593747531343936,-0.7397860759895563, -52.1897524775566,-0.6533043123072872, -53.23331018223502,-0.501769224076308, -53.23733160405507,-0.5036360204567719, -53.26236206671142,-0.6209067064162576, -53.2917839303927,-0.7588990636719295, -53.387335547196805,-1.2075170463012836, -53.48305739467181,-1.656067364873386, -53.57122858454298,-2.0694460288965164, -53.58442709130199,-2.1317339689531165, -53.58310080287976,-2.1354225642707476, -53.50144866100813,-2.1473588929459493, -52.88730798001188,-2.2367522900823014, -52.293341235941305,-2.322944111250832)",LANDSAT/LT05/C01/T1_SR/LT05_226061_20010731,9.96585717691E11,1521903381953432,"{""type"":""Polygon"",""coordinates"":[[[-52.293341235941305,-2.322944111250832],[-51.939677327062505,-2.3741367988154796],[-51.9390413612305,-2.3734980492724422],[-51.924140204894286,-2.303414317205369],[-51.76368329330886,-1.5465973473164891],[-51.59374809346026,-0.7437836922039189],[-51.593747531343936,-0.7397860759895563],[-52.1897524775566,-0.6533043123072872],[-53.23331018223502,-0.501769224076308],[-53.23733160405507,-0.5036360204567719],[-53.26236206671142,-0.6209067064162576],[-53.2917839303927,-0.7588990636719295],[-53.387335547196805,-1.2075170463012836],[-53.48305739467181,-1.656067364873386],[-53.57122858454298,-2.0694460288965164],[-53.58442709130199,-2.1317339689531165],[-53.58310080287976,-2.1354225642707476],[-53.50144866100813,-2.1473588929459493],[-52.88730798001188,-2.2367522900823014],[-52.293341235941305,-2.322944111250832]]]}"
2_LT05_226062_20010715,1.0,1.0,1.016438,2_19_0c,6.505,4.967,4.2,9.0,LT05_L1TP_226062_20010715_20161210_01_T1,1.481357991E12,generate_pixel_qa_1.5.0,LANDSAT_5,2001-07-15T13:22:25.7460500Z,52.014595,41.061661,LEDAPS_3.2.0,226.0,62.0,373832402,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-51.91192371708643,-2.189945929801318, -51.911922426143356,-2.1879128149647586, -51.95989742735794,-2.1809478305536234, -52.082352945899125,-2.163225433000248, -53.55372358211828,-1.9496149088382948, -53.557812184943884,-1.9516639339833488, -53.56733932654815,-1.9959724743271057, -53.62900678003475,-2.2857113910061586, -53.786712300636815,-3.0249507131662043, -53.89549842765679,-3.5348070968989975, -53.90489723984761,-3.57938000716103, -53.9036322503216,-3.5829100346659697, -53.88356112584859,-3.5858560196621663, -53.663815327920894,-3.617973713198507, -53.1478306532872,-3.6931446215995067, -52.650665843909806,-3.7652667306388463, -52.25698211881351,-3.8221662940282495, -52.25474258451587,-3.812390404751428, -52.08514170484355,-3.0122402334020726, -51.91451783616876,-2.204997957070216, -51.91236723817363,-2.193498304121449, -51.91192371708643,-2.189945929801318)",LANDSAT/LT05/C01/T1_SR/LT05_226062_20010715,9.95203345746E11,1521903465738802,"{""type"":""Polygon"",""coordinates"":[[[-51.91192371708643,-2.189945929801318],[-51.911922426143356,-2.1879128149647586],[-51.95989742735794,-2.1809478305536234],[-52.082352945899125,-2.163225433000248],[-53.55372358211828,-1.9496149088382948],[-53.557812184943884,-1.9516639339833488],[-53.56733932654815,-1.9959724743271057],[-53.62900678003475,-2.2857113910061586],[-53.786712300636815,-3.0249507131662043],[-53.89549842765679,-3.5348070968989975],[-53.90489723984761,-3.57938000716103],[-53.9036322503216,-3.5829100346659697],[-53.88356112584859,-3.5858560196621663],[-53.663815327920894,-3.617973713198507],[-53.1478306532872,-3.6931446215995067],[-52.650665843909806,-3.7652667306388463],[-52.25698211881351,-3.8221662940282495],[-52.25474258451587,-3.812390404751428],[-52.08514170484355,-3.0122402334020726],[-51.91451783616876,-2.204997957070216],[-51.91236723817363,-2.193498304121449],[-51.91192371708643,-2.189945929801318]]]}"
2_LT05_226062_20010731,9.0,9.0,1.015038,2_19_0c,4.852,3.375,3.486,9.0,LT05_L1TP_226062_20010731_20161210_01_T1,1.481352742E12,generate_pixel_qa_1.5.0,LANDSAT_5,2001-07-31T13:22:21.6940440Z,56.483341,39.476913,LEDAPS_3.2.0,226.0,62.0,301854576,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-51.901403750592074,-2.191446708345165, -52.006022756467374,-2.17630419304756, -52.514659989531395,-2.1026201741853465, -53.44679474087347,-1.9672024567925297, -53.54307050754006,-1.9532169587771808, -53.54703735416965,-1.955205007445962, -53.54896463842383,-1.9640054083470189, -53.5714985221857,-2.0697166744995505, -53.636993794270246,-2.377337390124384, -53.774024689832494,-3.019561531117055, -53.888550249416824,-3.5559723995123127, -53.89415182904922,-3.5831149058960166, -53.89283842243611,-3.586780094998226, -53.825332647773614,-3.5966860144768162, -53.13912455421701,-3.696701545015648, -52.24673613957666,-3.825926128503976, -52.24076014607712,-3.798249787619129, -52.072041177207375,-3.0028912115469106, -51.90140665476333,-2.196276296577025, -51.901403750592074,-2.191446708345165)",LANDSAT/LT05/C01/T1_SR/LT05_226062_20010731,9.96585741694E11,1521903466506055,"{""type"":""Polygon"",""coordinates"":[[[-51.901403750592074,-2.191446708345165],[-52.006022756467374,-2.17630419304756],[-52.514659989531395,-2.1026201741853465],[-53.44679474087347,-1.9672024567925297],[-53.54307050754006,-1.9532169587771808],[-53.54703735416965,-1.955205007445962],[-53.54896463842383,-1.9640054083470189],[-53.5714985221857,-2.0697166744995505],[-53.636993794270246,-2.377337390124384],[-53.774024689832494,-3.019561531117055],[-53.888550249416824,-3.5559723995123127],[-53.89415182904922,-3.5831149058960166],[-53.89283842243611,-3.586780094998226],[-53.825332647773614,-3.5966860144768162],[-53.13912455421701,-3.696701545015648],[-52.24673613957666,-3.825926128503976],[-52.24076014607712,-3.798249787619129],[-52.072041177207375,-3.0028912115469106],[-51.90140665476333,-2.196276296577025],[-51.901403750592074,-2.191446708345165]]]}"
2_LT05_227061_20010722,8.0,8.0,1.015969,2_19_0c,5.966,3.443,4.872,9.0,LT05_L1TP_227061_20010722_20161211_01_T1,1.481421555E12,generate_pixel_qa_1.5.0,LANDSAT_5,2001-07-22T13:28:09.4240500Z,55.01091,39.483807,LEDAPS_3.2.0,227.0,61.0,403123885,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-54.77620437350079,-0.49916982382828773, -54.777709906071976,-0.4991703460391292, -54.781619119665464,-0.5009882808941392, -54.7835679681625,-0.5096906813842166, -54.954606215602844,-1.3104631758682828, -55.125374257010485,-2.11139030353843, -55.128981934624505,-2.1288052514650335, -55.12762812202563,-2.132536648233656, -53.48708320192649,-2.371366082101888, -53.484781630291494,-2.371360166873336, -53.41522553171912,-2.0461797297397823, -53.357106819689186,-1.7738279211525654, -53.197992478553275,-1.0285911975370086, -53.162025612279145,-0.8594606705183347, -53.13979587853309,-0.7543668029793724, -53.13764736672313,-0.7438146388273641, -53.137651471577,-0.7390962449357252, -53.24850014933214,-0.7228726858558199, -53.739356609517834,-0.651028434351625, -54.31104536534733,-0.5673194144609791, -54.77620437350079,-0.49916982382828773)",LANDSAT/LT05/C01/T1_SR/LT05_227061_20010722,9.95808489424E11,1521902209979313,"{""type"":""Polygon"",""coordinates"":[[[-54.77620437350079,-0.49916982382828773],[-54.777709906071976,-0.4991703460391292],[-54.781619119665464,-0.5009882808941392],[-54.7835679681625,-0.5096906813842166],[-54.954606215602844,-1.3104631758682828],[-55.125374257010485,-2.11139030353843],[-55.128981934624505,-2.1288052514650335],[-55.12762812202563,-2.132536648233656],[-53.48708320192649,-2.371366082101888],[-53.484781630291494,-2.371360166873336],[-53.41522553171912,-2.0461797297397823],[-53.357106819689186,-1.7738279211525654],[-53.197992478553275,-1.0285911975370086],[-53.162025612279145,-0.8594606705183347],[-53.13979587853309,-0.7543668029793724],[-53.13764736672313,-0.7438146388273641],[-53.137651471577,-0.7390962449357252],[-53.24850014933214,-0.7228726858558199],[-53.739356609517834,-0.651028434351625],[-54.31104536534733,-0.5673194144609791],[-54.77620437350079,-0.49916982382828773]]]}"
2_LT05_227061_20010807,1.0,1.0,1.01407,2_19_0c,3.698,2.642,2.587,9.0,LT05_L1TP_227061_20010807_20161210_01_T1,1.48134892E12,generate_pixel_qa_1.5.0,LANDSAT_5,2001-08-07T13:28:08.1840060Z,60.447456,37.562775,LEDAPS_3.2.0,227.0,61.0,303286100,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-55.130065505361316,-2.133591800141563, -55.06686909936029,-2.1428361209399545, -53.48701705055722,-2.372837379956006, -53.48316107038975,-2.3548889666878243, -53.41578382287665,-2.0372414191503565, -53.34326092360628,-1.6949792868303613, -53.32271326620903,-1.5979738260757488, -53.22430665195033,-1.133802460637068, -53.201392925126015,-1.0255120344402144, -53.17730674008813,-0.9114715195699137, -53.151333153756866,-0.7879565898062703, -53.14195307374812,-0.7419867691356913, -53.1419562757214,-0.7383449546702417, -53.32327119650065,-0.7119511500635487, -53.733942758637475,-0.6521532533856796, -54.27737873929903,-0.5729968551116281, -54.779478398894454,-0.4998194666525248, -54.783842821280416,-0.5017042095390446, -54.95770147198873,-1.3153481121930333, -55.13143122825295,-2.12982770904013, -55.130065505361316,-2.133591800141563)",LANDSAT/LT05/C01/T1_SR/LT05_227061_20010807,9.97190888184E11,1521902211742780,"{""type"":""Polygon"",""coordinates"":[[[-55.130065505361316,-2.133591800141563],[-55.06686909936029,-2.1428361209399545],[-53.48701705055722,-2.372837379956006],[-53.48316107038975,-2.3548889666878243],[-53.41578382287665,-2.0372414191503565],[-53.34326092360628,-1.6949792868303613],[-53.32271326620903,-1.5979738260757488],[-53.22430665195033,-1.133802460637068],[-53.201392925126015,-1.0255120344402144],[-53.17730674008813,-0.9114715195699137],[-53.151333153756866,-0.7879565898062703],[-53.14195307374812,-0.7419867691356913],[-53.1419562757214,-0.7383449546702417],[-53.32327119650065,-0.7119511500635487],[-53.733942758637475,-0.6521532533856796],[-54.27737873929903,-0.5729968551116281],[-54.779478398894454,-0.4998194666525248],[-54.783842821280416,-0.5017042095390446],[-54.95770147198873,-1.3153481121930333],[-55.13143122825295,-2.12982770904013],[-55.130065505361316,-2.133591800141563]]]}"
2_LT05_227061_20010823,1.0,1.0,1.011134,2_19_0c,4.459,3.13,3.176,9.0,LT05_L1TP_227061_20010823_20161210_01_T1,1.481341005E12,generate_pixel_qa_1.5.0,LANDSAT_5,2001-08-23T13:28:04.1160810Z,67.801125,34.971859,LEDAPS_3.2.0,227.0,61.0,368897762,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.34239643269352,-1.7250431778979214, -53.217668509177734,-1.135756811680103, -53.19332725632921,-1.020627637649483, -53.16475391240213,-0.8852344677270133, -53.14353527602071,-0.7841584974038993, -53.13576178525739,-0.7467267048533092, -53.13576539743624,-0.7425375200128508, -53.7627988544422,-0.6513122588593512, -54.31373702683524,-0.5711163313116867, -54.775028858058114,-0.50393287302213, -54.779067482747536,-0.5058110444205453, -54.83545628457917,-0.7698137398268602, -54.98076366396789,-1.4513981528102813, -55.126048448622285,-2.1338488977466663, -55.12470587976137,-2.1375490680498226, -53.48072097604598,-2.376800552465341, -53.47855180384923,-2.3673408303827514, -53.47296111857098,-2.341318049776463, -53.37599800340347,-1.8838386919037664, -53.34239643269352,-1.7250431778979214)",LANDSAT/LT05/C01/T1_SR/LT05_227061_20010823,9.98573284116E11,1521902212722402,"{""type"":""Polygon"",""coordinates"":[[[-53.34239643269352,-1.7250431778979214],[-53.217668509177734,-1.135756811680103],[-53.19332725632921,-1.020627637649483],[-53.16475391240213,-0.8852344677270133],[-53.14353527602071,-0.7841584974038993],[-53.13576178525739,-0.7467267048533092],[-53.13576539743624,-0.7425375200128508],[-53.7627988544422,-0.6513122588593512],[-54.31373702683524,-0.5711163313116867],[-54.775028858058114,-0.50393287302213],[-54.779067482747536,-0.5058110444205453],[-54.83545628457917,-0.7698137398268602],[-54.98076366396789,-1.4513981528102813],[-55.126048448622285,-2.1338488977466663],[-55.12470587976137,-2.1375490680498226],[-53.48072097604598,-2.376800552465341],[-53.47855180384923,-2.3673408303827514],[-53.47296111857098,-2.341318049776463],[-53.37599800340347,-1.8838386919037664],[-53.34239643269352,-1.7250431778979214]]]}"
