system:index,CLOUD_COVER,CLOUD_COVER_LAND,EARTH_SUN_DISTANCE,ESPA_VERSION,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,IMAGE_QUALITY_OLI,IMAGE_QUALITY_TIRS,LANDSAT_ID,LEVEL1_PRODUCTION_DATE,PIXEL_QA_VERSION,SATELLITE,SENSING_TIME,SOLAR_AZIMUTH_ANGLE,SOLAR_ZENITH_ANGLE,SR_APP_VERSION,WRS_PATH,WRS_ROW,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_start,system:version,.geo
1_LC08_226061_20150823,4.5,4.5,1.011247,2_23_0_1a,8.616,6.237,5.944,9.0,9.0,LC08_L1TP_226061_20150823_20170405_01_T1,1.491425334E12,generate_pixel_qa_1.6.0,LANDSAT_8,2015-08-23T13:41:24.5850340Z,64.332458,30.515568,LaSRC_1.3.0,226.0,61.0,563255645,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.24844062183052,-0.8188590632934286, -53.29383943130869,-1.0317251006945023, -53.406415217297315,-1.5593524386174475, -53.4658970286633,-1.8378802248738504, -53.52339849586008,-2.107220388274928, -53.52993259659475,-2.137908483445765, -52.7692918242502,-2.3028192558917064, -52.23372029270319,-2.4187111358754376, -51.895859753265675,-2.4917138774309793, -51.894489191160865,-2.4917147985226133, -51.71098896498777,-1.6274919449294796, -51.52571038861443,-0.7533277286477275, -51.54463361170858,-0.7492433895098911, -51.77378098549363,-0.7000691660730873, -52.41532388484965,-0.5623511760498326, -52.858091286190096,-0.4672796643492733, -53.159534415303696,-0.40254853666904267, -53.15989878917992,-0.4036479415332142, -53.164487820472694,-0.4250879421227125, -53.24844062183052,-0.8188590632934286)",LANDSAT/LC08/C01/T1_SR/LC08_226061_20150823,1.44033728458E12,1522716140776281,"{""type"":""Polygon"",""coordinates"":[[[-53.24844062183052,-0.8188590632934286],[-53.29383943130869,-1.0317251006945023],[-53.406415217297315,-1.5593524386174475],[-53.4658970286633,-1.8378802248738504],[-53.52339849586008,-2.107220388274928],[-53.52993259659475,-2.137908483445765],[-52.7692918242502,-2.3028192558917064],[-52.23372029270319,-2.4187111358754376],[-51.895859753265675,-2.4917138774309793],[-51.894489191160865,-2.4917147985226133],[-51.71098896498777,-1.6274919449294796],[-51.52571038861443,-0.7533277286477275],[-51.54463361170858,-0.7492433895098911],[-51.77378098549363,-0.7000691660730873],[-52.41532388484965,-0.5623511760498326],[-52.858091286190096,-0.4672796643492733],[-53.159534415303696,-0.40254853666904267],[-53.15989878917992,-0.4036479415332142],[-53.164487820472694,-0.4250879421227125],[-53.24844062183052,-0.8188590632934286]]]}"
1_LC08_226061_20151026,7.4,7.41,0.99411,2_23_0_1a,9.979,7.399,6.695,9.0,9.0,LC08_L1TP_226061_20151026_20170402_01_T1,1.491168776E12,generate_pixel_qa_1.6.0,LANDSAT_8,2015-10-26T13:41:43.8145620Z,116.724319,25.387939,LaSRC_1.3.0,226.0,61.0,596915015,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.481730654990876,-1.874624922985531, -53.501267246487096,-1.9662479137670266, -53.5346615394163,-2.122921717999272, -53.53784828297277,-2.1379551963656533, -53.53679122006287,-2.138489131910262, -53.31783643036589,-2.1859580224220236, -52.183012508123724,-2.431510309355344, -51.902443935893146,-2.4920806578659276, -51.899433944438705,-2.4782002239469616, -51.716513579918654,-1.616091305029841, -51.53383059010232,-0.7535556658198556, -51.66675307847801,-0.7250545875400719, -52.96209758202213,-0.44717801381100386, -53.16325108049359,-0.4040168922052024, -53.167843030741935,-0.40309104408377705, -53.168654568920005,-0.40635537967604857, -53.25625286353179,-0.8172274296986661, -53.30841072240614,-1.0620885921550534, -53.41341570807175,-1.5544631725754292, -53.44485019657049,-1.7016715549673975, -53.481730654990876,-1.874624922985531)",LANDSAT/LC08/C01/T1_SR/LC08_226061_20151026,1.44586690381E12,1522716141373413,"{""type"":""Polygon"",""coordinates"":[[[-53.481730654990876,-1.874624922985531],[-53.501267246487096,-1.9662479137670266],[-53.5346615394163,-2.122921717999272],[-53.53784828297277,-2.1379551963656533],[-53.53679122006287,-2.138489131910262],[-53.31783643036589,-2.1859580224220236],[-52.183012508123724,-2.431510309355344],[-51.902443935893146,-2.4920806578659276],[-51.899433944438705,-2.4782002239469616],[-51.716513579918654,-1.616091305029841],[-51.53383059010232,-0.7535556658198556],[-51.66675307847801,-0.7250545875400719],[-52.96209758202213,-0.44717801381100386],[-53.16325108049359,-0.4040168922052024],[-53.167843030741935,-0.40309104408377705],[-53.168654568920005,-0.40635537967604857],[-53.25625286353179,-0.8172274296986661],[-53.30841072240614,-1.0620885921550534],[-53.41341570807175,-1.5544631725754292],[-53.44485019657049,-1.7016715549673975],[-53.481730654990876,-1.874624922985531]]]}"
1_LC08_227061_20150814,6.95,6.95,1.013034,2_23_0_1a,9.299,7.117,5.985,9.0,9.0,LC08_L1TP_227061_20150814_20170406_01_T1,1.491452193E12,generate_pixel_qa_1.6.0,LANDSAT_8,2015-08-14T13:47:31.3507870Z,59.669384,32.215027,LaSRC_1.3.0,227.0,61.0,568039272,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.476416259916185,-2.4840268346225254, -53.438234440088344,-2.492267184490419, -53.43780679683761,-2.490965301531338, -53.43038129333298,-2.4563363171366928, -53.36464521318389,-2.1470983503295895, -53.28817277042433,-1.7866901743511006, -53.26950499192151,-1.6986293791714706, -53.154146211808495,-1.154899480053395, -53.06915532917558,-0.7537143828554613, -54.09103251369304,-0.5341452068550745, -54.6243345030721,-0.4193941099843376, -54.701141741223374,-0.40286802219580115, -54.70244302707109,-0.40286838371219075, -54.70277800574878,-0.403880912431202, -54.708699789018915,-0.43128821655923977, -54.89075895766672,-1.282879672691844, -55.073115249952544,-2.1375506132584454, -55.0721957143371,-2.138011696091021, -54.971482245093796,-2.1599235707079667, -53.54082756797495,-2.4701104127038067, -53.476416259916185,-2.4840268346225254)",LANDSAT/LC08/C01/T1_SR/LC08_227061_20150814,1.43956005135E12,1522719453546422,"{""type"":""Polygon"",""coordinates"":[[[-53.476416259916185,-2.4840268346225254],[-53.438234440088344,-2.492267184490419],[-53.43780679683761,-2.490965301531338],[-53.43038129333298,-2.4563363171366928],[-53.36464521318389,-2.1470983503295895],[-53.28817277042433,-1.7866901743511006],[-53.26950499192151,-1.6986293791714706],[-53.154146211808495,-1.154899480053395],[-53.06915532917558,-0.7537143828554613],[-54.09103251369304,-0.5341452068550745],[-54.6243345030721,-0.4193941099843376],[-54.701141741223374,-0.40286802219580115],[-54.70244302707109,-0.40286838371219075],[-54.70277800574878,-0.403880912431202],[-54.708699789018915,-0.43128821655923977],[-54.89075895766672,-1.282879672691844],[-55.073115249952544,-2.1375506132584454],[-55.0721957143371,-2.138011696091021],[-54.971482245093796,-2.1599235707079667],[-53.54082756797495,-2.4701104127038067],[-53.476416259916185,-2.4840268346225254]]]}"
1_LC08_227061_20150915,9.15,9.15,1.005706,2_23_0_1a,9.639,7.387,6.193,9.0,9.0,LC08_L1TP_227061_20150915_20170404_01_T1,1.491284634E12,generate_pixel_qa_1.6.0,LANDSAT_8,2015-09-15T13:47:45.1574720Z,80.236053,26.321087,LaSRC_1.3.0,227.0,61.0,598140150,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.28131932101058,-1.713277847322892, -53.16195432846626,-1.150577159619843, -53.08622956407774,-0.7927705962848115, -53.078018758076716,-0.7538484356433193, -53.07919533033926,-0.7534548294534897, -53.358246748393874,-0.693563326981286, -54.287629447278576,-0.4938399862275943, -54.711222615294744,-0.40270428205566416, -54.71172769245952,-0.40372181941826857, -54.719164806943155,-0.43835364991544223, -54.900725844557044,-1.2879057759127603, -55.08200343014418,-2.137789690902015, -55.0539436210326,-2.1439012827175605, -54.53695784830001,-2.256227761261466, -53.49716289039672,-2.4813733312470525, -53.44680743646951,-2.49224161474613, -53.44618354114187,-2.489702355749596, -53.437903486203204,-2.4510101572431693, -53.37725616317115,-2.165547740547037, -53.293159303906734,-1.7691278949828355, -53.28131932101058,-1.713277847322892)",LANDSAT/LC08/C01/T1_SR/LC08_227061_20150915,1.44232486516E12,1522719454691540,"{""type"":""Polygon"",""coordinates"":[[[-53.28131932101058,-1.713277847322892],[-53.16195432846626,-1.150577159619843],[-53.08622956407774,-0.7927705962848115],[-53.078018758076716,-0.7538484356433193],[-53.07919533033926,-0.7534548294534897],[-53.358246748393874,-0.693563326981286],[-54.287629447278576,-0.4938399862275943],[-54.711222615294744,-0.40270428205566416],[-54.71172769245952,-0.40372181941826857],[-54.719164806943155,-0.43835364991544223],[-54.900725844557044,-1.2879057759127603],[-55.08200343014418,-2.137789690902015],[-55.0539436210326,-2.1439012827175605],[-54.53695784830001,-2.256227761261466],[-53.49716289039672,-2.4813733312470525],[-53.44680743646951,-2.49224161474613],[-53.44618354114187,-2.489702355749596],[-53.437903486203204,-2.4510101572431693],[-53.37725616317115,-2.165547740547037],[-53.293159303906734,-1.7691278949828355],[-53.28131932101058,-1.713277847322892]]]}"
1_LC08_227062_20150814,1.19,1.19,1.013034,2_23_0_1a,9.07,6.69,6.125,9.0,9.0,LC08_L1TP_227062_20150814_20170406_01_T1,1.49145198E12,generate_pixel_qa_1.6.0,LANDSAT_8,2015-08-14T13:47:55.2714760Z,57.916519,33.142418,LaSRC_1.3.0,227.0,62.0,520075658,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.74490508348103,-3.9383374709307057, -53.74438897565148,-3.9378150410481276, -53.71787417698927,-3.8129904712788525, -53.58261882224129,-3.175512080720769, -53.49524855750489,-2.762902164836661, -53.38248315558433,-2.231111243197231, -53.37593359699836,-2.200090141613152, -53.421832504258695,-2.190255226668471, -54.96466438795554,-1.8587218945130026, -55.01124274201289,-1.8486831574860694, -55.01162562571556,-1.849455994600159, -55.19161891628198,-2.6907845876244245, -55.375171163169234,-3.5494512002551497, -55.38220102991618,-3.58244767414353, -55.38219875000411,-3.5837475733020927, -55.37577385769033,-3.5851701214023715, -55.24476384172491,-3.6136832719142924, -54.770167510374066,-3.7167798955002826, -54.123840092798396,-3.8566713958067513, -53.74838790882848,-3.937652116065242, -53.74490508348103,-3.9383374709307057)",LANDSAT/LC08/C01/T1_SR/LC08_227062_20150814,1.43956007527E12,1522719844086270,"{""type"":""Polygon"",""coordinates"":[[[-53.74490508348103,-3.9383374709307057],[-53.74438897565148,-3.9378150410481276],[-53.71787417698927,-3.8129904712788525],[-53.58261882224129,-3.175512080720769],[-53.49524855750489,-2.762902164836661],[-53.38248315558433,-2.231111243197231],[-53.37593359699836,-2.200090141613152],[-53.421832504258695,-2.190255226668471],[-54.96466438795554,-1.8587218945130026],[-55.01124274201289,-1.8486831574860694],[-55.01162562571556,-1.849455994600159],[-55.19161891628198,-2.6907845876244245],[-55.375171163169234,-3.5494512002551497],[-55.38220102991618,-3.58244767414353],[-55.38219875000411,-3.5837475733020927],[-55.37577385769033,-3.5851701214023715],[-55.24476384172491,-3.6136832719142924],[-54.770167510374066,-3.7167798955002826],[-54.123840092798396,-3.8566713958067513],[-53.74838790882848,-3.937652116065242],[-53.74490508348103,-3.9383374709307057]]]}"
